,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
12955,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,bad payed
12956,1,8 - 10 years,5-7 years,Some college,Man,Technology & Science,well payed
12957,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
12958,2,31 - 40 years,21 - 30 years,Some college,Woman,Public & Government,bad payed
12959,2,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,well payed
12960,0,31 - 40 years,31 - 40 years,Some college,Woman,Unidentified,well payed
12962,3,31 - 40 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
12963,1,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
12964,3,5-7 years,5-7 years,College degree,Woman,Industry,bad payed
12965,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
12966,3,8 - 10 years,1 year or less,College degree,Woman,Other,well payed
12967,0,11 - 20 years,8 - 10 years,Master's degree,Prefer not to answer,Health,very well payed
12968,0,21 - 30 years,11 - 20 years,Some college,Woman,Non profit Organization,bad payed
12969,3,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
12970,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed
12971,1,8 - 10 years,8 - 10 years,College degree,Non-binary,Other,well payed
12972,3,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed
12973,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
12974,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,very well payed
12975,1,5-7 years,5-7 years,College degree,Non-binary,Health,bad payed
12976,1,5-7 years,5-7 years,College degree,Man,Health,well payed
12977,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
12978,0,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,well payed
12979,0,5-7 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed
12980,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,very well payed
12981,2,21 - 30 years,21 - 30 years,Master's degree,Man,Public & Government,well payed
12982,0,11 - 20 years,8 - 10 years,Master's degree,Man,Consulting,very well payed
12983,0,5-7 years,5-7 years,PhD,Woman,Education,well payed
12984,2,8 - 10 years,8 - 10 years,Master's degree,Man,Public & Government,bad payed
12985,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed
12986,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Unidentified,bad payed
12987,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
12988,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
12989,3,11 - 20 years,5-7 years,College degree,Woman,Other,well payed
12990,0,11 - 20 years,8 - 10 years,Some college,Woman,Industry,well payed
12991,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Other,bad payed
12992,1,8 - 10 years,5-7 years,College degree,Non-binary,Unidentified,bad payed
12994,0,11 - 20 years,11 - 20 years,Some college,Woman,Health,well payed
12995,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed
12996,0,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed
12997,0,8 - 10 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
12998,3,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
12999,3,5-7 years,5-7 years,College degree,Woman,Law,well payed
13000,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed
13001,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed
13002,0,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
13003,3,31 - 40 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed
13004,1,11 - 20 years,8 - 10 years,College degree,Man,Advertising,well payed
13005,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
13006,0,8 - 10 years,5-7 years,Master's degree,Non-binary,Other,bad payed
13008,3,11 - 20 years,2 - 4 years,College degree,Woman,Industry,bad payed
13009,0,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
13010,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed
13011,1,21 - 30 years,8 - 10 years,Some college,Man,Industry,well payed
13012,1,8 - 10 years,8 - 10 years,College degree,Man,Unidentified,well payed
13013,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,bad payed
13014,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed
13015,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
13016,1,5-7 years,5-7 years,PhD,Man,Technology & Science,very well payed
13017,0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
13018,0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
13019,0,8 - 10 years,5-7 years,Master's degree,Woman,Other,bad payed
13020,3,5-7 years,5-7 years,College degree,Woman,Advertising,bad payed
13021,1,8 - 10 years,8 - 10 years,College degree,Man,Advertising,very well payed
13024,3,5-7 years,2 - 4 years,College degree,Woman,Advertising,well payed
13025,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,bad payed
13026,3,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
13027,1,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,bad payed
13029,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
13030,0,5-7 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed
13032,0,11 - 20 years,8 - 10 years,College degree,Woman,Education,bad payed
13033,0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
13034,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed
13035,0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,well payed
13036,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
13038,3,21 - 30 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
13039,1,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,very well payed
13040,3,2 - 4 years,2 - 4 years,PhD,Woman,Technology & Science,very well payed
13041,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
13042,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
13043,3,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,very well payed
13044,1,21 - 30 years,11 - 20 years,College degree,Man,Unidentified,well payed
13045,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,well payed
13046,0,5-7 years,5-7 years,Master's degree,Man,Non profit Organization,bad payed
13047,0,2 - 4 years,2 - 4 years,Master's degree,Man,Culture,bad payed
13048,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Advertising,very well payed
13049,0,8 - 10 years,5-7 years,Some college,Woman,Health,bad payed
13050,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
13051,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,bad payed
13052,2,11 - 20 years,2 - 4 years,Some college,Woman,Public & Government,well payed
13053,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed
13054,3,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed
13055,0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Other,very well payed
13056,3,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
13057,0,5-7 years,5-7 years,Master's degree,Woman,Culture,bad payed
13058,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,very well payed
13062,3,11 - 20 years,5-7 years,College degree,Woman,Other,well payed
13063,0,5-7 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed
13064,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
13065,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed
13066,0,5-7 years,5-7 years,Master's degree,Woman,Education,well payed
13067,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed
13068,1,5-7 years,2 - 4 years,College degree,Non-binary,Banking & Insurance,bad payed
13069,3,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed
13070,2,2 - 4 years,2 - 4 years,PhD,Woman,Public & Government,bad payed
13071,3,11 - 20 years,1 year or less,College degree,Woman,Law,bad payed
13072,0,5-7 years,2 - 4 years,Master's degree,Man,Banking & Insurance,very well payed
13073,2,31 - 40 years,21 - 30 years,College degree,Woman,Public & Government,bad payed
13074,1,8 - 10 years,8 - 10 years,College degree,Man,Health,well payed
13075,0,11 - 20 years,11 - 20 years,PhD,Woman,Education,bad payed
13076,1,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed
13077,0,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed
13078,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
13079,2,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed
13082,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,well payed
13083,3,11 - 20 years,5-7 years,College degree,Woman,Industry,very well payed
13084,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
13085,3,5-7 years,5-7 years,College degree,Woman,Advertising,bad payed
13086,1,11 - 20 years,11 - 20 years,College degree,Man,Consulting,well payed
13088,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
13089,3,5-7 years,5-7 years,PhD,Woman,Technology & Science,bad payed
13090,3,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,well payed
13091,1,8 - 10 years,5-7 years,College degree,Non-binary,Technology & Science,well payed
13092,0,21 - 30 years,2 - 4 years,Master's degree,Woman,Education,bad payed
13093,1,5-7 years,5-7 years,PhD,Man,Technology & Science,very well payed
13094,3,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
13095,3,5-7 years,5-7 years,College degree,Woman,Other,well payed
13096,0,21 - 30 years,5-7 years,Master's degree,Woman,Health,very well payed
13097,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
13098,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
13099,3,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed
13100,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
13101,1,11 - 20 years,8 - 10 years,College degree,Man,Health,very well payed
13102,1,11 - 20 years,11 - 20 years,College degree,Man,Industry,well payed
13103,0,5-7 years,5-7 years,Master's degree,Woman,Health,well payed
13104,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,well payed
13106,3,5-7 years,5-7 years,College degree,Woman,Unidentified,well payed
13107,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,bad payed
13108,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
13109,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,bad payed
13110,3,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,well payed
13111,0,8 - 10 years,8 - 10 years,Master's degree,Man,Education,bad payed
13112,3,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Technology & Science,very well payed
13113,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
13114,2,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed
13115,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
13116,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed
13117,1,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,very well payed
13118,3,11 - 20 years,2 - 4 years,College degree,Woman,Industry,bad payed
13119,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed
13120,2,5-7 years,5-7 years,College degree,Woman,Public & Government,bad payed
13121,0,11 - 20 years,11 - 20 years,High School,Woman,Banking & Insurance,bad payed
13122,1,8 - 10 years,8 - 10 years,College degree,Man,Health,well payed
13123,0,5-7 years,5-7 years,Master's degree,Man,Non profit Organization,well payed
13124,0,11 - 20 years,11 - 20 years,Some college,Woman,Education,bad payed
13125,3,8 - 10 years,5-7 years,College degree,Woman,Advertising,bad payed
13126,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Unidentified,well payed
13127,1,1 year or less,1 year or less,College degree,Man,Technology & Science,bad payed
13128,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed
13129,3,2 - 4 years,2 - 4 years,College degree,Woman,Law,well payed
13130,3,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed
13131,0,2 - 4 years,1 year or less,High School,Woman,Other,bad payed
13133,3,5-7 years,5-7 years,College degree,Woman,Advertising,bad payed
13136,3,8 - 10 years,8 - 10 years,College degree,Woman,Other,well payed
13137,0,8 - 10 years,8 - 10 years,Some college,Man,Education,well payed
13138,3,21 - 30 years,21 - 30 years,College degree,Woman,Culture,well payed
13139,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed
13140,0,1 year or less,1 year or less,Master's degree,Non-binary,Other,well payed
13141,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,bad payed
13143,2,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,well payed
13144,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
13145,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
13146,1,11 - 20 years,11 - 20 years,Some college,Man,Banking & Insurance,well payed
13147,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,bad payed
13148,3,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed
13150,3,21 - 30 years,8 - 10 years,College degree,Woman,Law,bad payed
13151,3,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed
13153,3,21 - 30 years,21 - 30 years,College degree,Woman,Consulting,very well payed
13154,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
13155,2,31 - 40 years,11 - 20 years,College degree,Woman,Public & Government,well payed
13156,1,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed
13157,1,5-7 years,1 year or less,College degree,Man,Other,bad payed
13158,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
13159,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed
13160,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed
13161,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
13162,3,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,very well payed
13163,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,well payed
13164,1,11 - 20 years,8 - 10 years,High School,Man,Technology & Science,well payed
13165,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
13166,2,5-7 years,5-7 years,College degree,Woman,Public & Government,bad payed
13167,1,21 - 30 years,5-7 years,College degree,Man,Technology & Science,very well payed
13168,2,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,well payed
13169,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Advertising,very well payed
13170,0,11 - 20 years,5-7 years,College degree,Woman,Education,bad payed
13171,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
13172,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,very well payed
13173,1,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,well payed
13174,0,5-7 years,2 - 4 years,PhD,Woman,Consulting,very well payed
13175,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,very well payed
13176,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,very well payed
13178,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
13180,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed
13181,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,bad payed
13182,3,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
13183,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Law,well payed
13184,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Culture,bad payed
13185,3,5-7 years,2 - 4 years,College degree,Woman,Consulting,well payed
13186,0,2 - 4 years,2 - 4 years,PhD,Woman,Health,well payed
13187,3,11 - 20 years,5-7 years,College degree,Woman,Unidentified,bad payed
13188,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed
13189,0,11 - 20 years,11 - 20 years,Master's degree,Man,Unidentified,well payed
13190,0,5-7 years,5-7 years,Some college,Woman,Other,bad payed
13191,3,5-7 years,2 - 4 years,College degree,Woman,Consulting,well payed
13192,1,11 - 20 years,8 - 10 years,College degree,Man,Education,bad payed
13193,1,8 - 10 years,8 - 10 years,College degree,Non-binary,Consulting,well payed
13194,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
13195,2,8 - 10 years,5-7 years,College degree,Woman,Public & Government,well payed
13196,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,well payed
13197,3,21 - 30 years,11 - 20 years,College degree,Woman,Health,bad payed
13198,0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,well payed
13199,3,21 - 30 years,21 - 30 years,Some college,Woman,Technology & Science,well payed
13201,1,11 - 20 years,2 - 4 years,College degree,Man,Technology & Science,well payed
13204,1,31 - 40 years,21 - 30 years,College degree,Man,Industry,very well payed
13205,1,11 - 20 years,11 - 20 years,College degree,Man,Industry,very well payed
13207,3,11 - 20 years,11 - 20 years,College degree,Woman,Health,very well payed
13208,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,very well payed
13209,0,5-7 years,5-7 years,Master's degree,Woman,Consulting,very well payed
13210,0,8 - 10 years,11 - 20 years,Master's degree,Woman,Health,bad payed
13211,3,5-7 years,5-7 years,College degree,Woman,Unidentified,bad payed
13212,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,very well payed
13213,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,well payed
13214,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed
13215,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,well payed
13216,3,11 - 20 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
13217,3,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
13218,1,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,bad payed
13219,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
13220,1,5-7 years,2 - 4 years,Some college,Man,Technology & Science,bad payed
13221,3,11 - 20 years,11 - 20 years,College degree,Woman,Health,very well payed
13222,1,8 - 10 years,5-7 years,College degree,Man,Technology & Science,very well payed
13223,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
13224,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
13225,3,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
13226,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
13227,2,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
13228,3,8 - 10 years,8 - 10 years,College degree,Woman,Consulting,well payed
13229,3,8 - 10 years,5-7 years,College degree,Woman,Consulting,very well payed
13230,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Health,well payed
13231,1,11 - 20 years,11 - 20 years,College degree,Man,Health,very well payed
13232,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,very well payed
13233,0,5-7 years,5-7 years,Master's degree,Man,Education,bad payed
13234,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Education,well payed
13235,3,2 - 4 years,2 - 4 years,College degree,Woman,Law,bad payed
13236,2,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
13237,1,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,very well payed
13238,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
13239,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
13240,0,8 - 10 years,5-7 years,PhD,Woman,Education,bad payed
13241,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,bad payed
13242,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Advertising,very well payed
13243,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed
13244,3,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,bad payed
13245,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
13246,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
13247,0,21 - 30 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
13248,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
13249,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed
13250,1,21 - 30 years,21 - 30 years,College degree,Man,Industry,well payed
13252,1,5-7 years,5-7 years,PhD,Man,Banking & Insurance,well payed
13253,1,11 - 20 years,11 - 20 years,College degree,Man,Non profit Organization,well payed
13254,1,21 - 30 years,21 - 30 years,High School,Man,Culture,well payed
13256,3,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,bad payed
13257,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,very well payed
13258,2,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed
13259,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed
13260,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,well payed
13262,0,2 - 4 years,2 - 4 years,Master's degree,Man,Industry,well payed
13263,0,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
13264,2,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,well payed
13265,1,8 - 10 years,8 - 10 years,College degree,Man,Education,bad payed
13266,3,5-7 years,1 year or less,College degree,Woman,Law,bad payed
13267,1,5-7 years,5-7 years,College degree,Man,Technology & Science,very well payed
13268,3,11 - 20 years,8 - 10 years,College degree,Woman,Health,well payed
13269,3,8 - 10 years,2 - 4 years,College degree,Woman,Industry,very well payed
13270,3,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed
13271,1,41 years or more,41 years or more,College degree,Man,Technology & Science,well payed
13272,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,bad payed
13273,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
13274,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,very well payed
13275,0,8 - 10 years,5-7 years,College degree,Woman,Education,bad payed
13276,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed
13277,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,very well payed
13278,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
13279,2,21 - 30 years,21 - 30 years,Some college,Woman,Public & Government,well payed
13280,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,very well payed
13281,0,5-7 years,5-7 years,Master's degree,Woman,Health,very well payed
13283,1,11 - 20 years,2 - 4 years,College degree,Man,Culture,bad payed
13284,1,31 - 40 years,21 - 30 years,Some college,Man,Technology & Science,well payed
13285,1,8 - 10 years,8 - 10 years,College degree,Man,Other,well payed
13286,3,11 - 20 years,2 - 4 years,College degree,Woman,Industry,well payed
13287,0,5-7 years,2 - 4 years,PhD,Woman,Education,well payed
13288,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed
13289,3,2 - 4 years,5-7 years,College degree,Woman,Other,bad payed
13290,1,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
13291,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed
13292,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
13293,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
13294,0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,bad payed
13295,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
13296,3,11 - 20 years,11 - 20 years,College degree,Woman,Culture,well payed
13297,3,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,well payed
13298,3,1 year or less,1 year or less,College degree,Woman,Health,well payed
13299,3,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,well payed
13300,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed
13302,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed
13303,1,8 - 10 years,8 - 10 years,PhD,Man,Industry,well payed
13304,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
13305,3,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed
13306,3,8 - 10 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
13307,1,2 - 4 years,2 - 4 years,College degree,Prefer not to answer,Technology & Science,well payed
13309,1,2 - 4 years,2 - 4 years,College degree,Man,Banking & Insurance,very well payed
13310,0,11 - 20 years,11 - 20 years,Some college,Woman,Industry,bad payed
13311,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
13312,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed
13314,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
13315,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,bad payed
13316,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
13317,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed
13318,0,21 - 30 years,11 - 20 years,PhD,Woman,Education,well payed
13320,1,8 - 10 years,5-7 years,College degree,Prefer not to answer,Banking & Insurance,well payed
13321,2,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,well payed
13322,3,5-7 years,5-7 years,College degree,Woman,Advertising,bad payed
13323,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed
13324,3,8 - 10 years,5-7 years,College degree,Woman,Culture,well payed
13326,3,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
13327,3,11 - 20 years,11 - 20 years,College degree,Woman,Consulting,well payed
13328,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
13329,1,21 - 30 years,21 - 30 years,College degree,Man,Law,very well payed
13330,2,11 - 20 years,11 - 20 years,PhD,Non-binary,Public & Government,very well payed
13331,1,5-7 years,2 - 4 years,Some college,Man,Industry,well payed
13332,3,5-7 years,2 - 4 years,College degree,Woman,Other,well payed
13334,1,5-7 years,5-7 years,Master's degree,Man,Technology & Science,well payed
13335,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed
13336,0,11 - 20 years,2 - 4 years,Master's degree,Man,Health,very well payed
13337,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed
13338,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
13339,3,5-7 years,5-7 years,College degree,Woman,Culture,bad payed
13340,3,2 - 4 years,1 year or less,College degree,Woman,Health,well payed
13341,1,21 - 30 years,21 - 30 years,College degree,Man,Education,well payed
13342,3,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
13343,0,11 - 20 years,8 - 10 years,Master's degree,Man,Banking & Insurance,bad payed
13344,1,5-7 years,5-7 years,College degree,Prefer not to answer,Banking & Insurance,very well payed
13346,2,11 - 20 years,8 - 10 years,Some college,Woman,Public & Government,well payed
13347,3,2 - 4 years,2 - 4 years,College degree,Woman,Health,bad payed
13348,0,2 - 4 years,2 - 4 years,High School,Woman,Health,bad payed
13349,0,5-7 years,2 - 4 years,Master's degree,Prefer not to answer,Law,well payed
13350,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
