,cluster,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,harmonized_salary,adjusted_annual_salary
14320,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Advertising,well payed,75000.0,1.2068432841584924
14321,4,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,134500.0,2.164272289590896
14322,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,well payed,137500.0,2.212546020957236
14323,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,172000.0,2.7676939316701423
14324,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Man,Public & Government,well payed,74000.0,1.1907520403697125
14325,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Other,bad payed,56000.0,0.9011096521716743
14327,0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Education,well payed,145000.0,2.333230349373085
14328,4,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,150000.0,2.413686568316985
14329,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,well payed,95000.0,1.5286681599340903
14331,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,105000.0,1.6895805978218892
14332,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Education,bad payed,54000.0,0.8689271645941145
14333,2,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Health,well payed,66500.0,1.0700677119538633
14334,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,75000.0,1.2068432841584924
14335,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Health,well payed,67000.0,1.0781133338482531
14336,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed,42265.0,1.0068848866018678
14338,3,35-44,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,well payed,112000.0,1.8022193043433485
14339,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed,34000.0,0.5471022888185165
14340,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed,29230.0,0.6963502954068992
14341,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed,88000.0,1.416029453412631
14342,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Industry,well payed,85000.0,1.3677557220462913
14343,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed,72000.0,1.1585695527921527
14344,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,150000.0,2.413686568316985
14345,2,25-34,5-7 years,2 - 4 years,PhD,Woman,Non profit Organization,well payed,97000.0,1.5608506475116501
14346,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Advertising,bad payed,47000.0,0.7562884580726552
14347,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed,110000.0,1.7700368167657887
14348,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,140000.0,2.2527741304291857
14350,2,25-34,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,72500.0,1.1666151746865425
14351,3,35-44,8 - 10 years,5-7 years,PhD,Woman,Education,bad payed,56000.0,0.9011096521716743
14352,2,25-34,2 - 4 years,2 - 4 years,College degree,Non-binary,Banking & Insurance,bad payed,57000.0,0.9172008959604542
14353,2,18-24,1 year or less,1 year or less,College degree,Man,Health,bad payed,35000.0,0.5631935326072964
14354,2,25-34,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,107000.0,1.721763085399449
14355,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,well payed,72000.0,1.1585695527921527
14356,5,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,70000.0,1.1263870652145929
14357,0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,96000.0,1.5447594037228702
14358,4,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,60000.0,0.9654746273267939
14359,2,25-34,5-7 years,2 - 4 years,College degree,Non-binary,Culture,bad payed,48000.0,0.7723797018614351
14360,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Health,well payed,86000.0,1.3838469658350712
14361,2,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Health,well payed,65000.0,1.0459308462706933
14362,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed,56000.0,0.9011096521716743
14363,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,130000.0,2.0918616925413867
14366,1,35-44,21 - 30 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed,72000.0,1.1585695527921527
14367,4,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,123000.0,1.9792229860199275
14368,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed,97500.0,1.56889626940604
14370,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Education,well payed,63500.0,1.0217939805875236
14371,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Culture,bad payed,26587.0,0.42781789861229114
14373,5,25-34,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,70087.0,1.1277870034242168
14374,0,35-44,11 - 20 years,5-7 years,Some college,Man,Technology & Science,well payed,100000.0,1.6091243788779899
14375,0,18-24,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,well payed,86000.0,1.3838469658350712
14376,5,25-34,8 - 10 years,5-7 years,High School,Woman,Culture,well payed,49375.0,1.1762673908900323
14377,2,25-34,2 - 4 years,2 - 4 years,College degree,Man,Banking & Insurance,bad payed,49000.0,0.788470945650215
14378,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed,180000.0,2.8964238819803816
14379,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,125000.0,2.0114054735974873
14380,1,35-44,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed,172000.0,2.7676939316701423
14381,5,25-34,5-7 years,5-7 years,College degree,Man,Non profit Organization,bad payed,61000.0,0.9815658711155738
14382,0,25-34,11 - 20 years,8 - 10 years,Some college,Woman,Technology & Science,well payed,165000.0,2.655055225148683
14385,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,79285.0,1.275794263793414
14386,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,90000.0,1.4482119409901908
14388,1,35-44,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Unidentified,well payed,148750.0,2.39357251358101
14389,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed,120000.0,1.9309492546535878
14390,5,25-34,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,well payed,125000.0,2.0114054735974873
14391,0,18-24,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed,44168.04,1.1514327723205908
14392,0,25-34,8 - 10 years,8 - 10 years,Some college,Woman,Culture,well payed,74000.0,1.1907520403697125
14393,2,25-34,5-7 years,2 - 4 years,High School,Woman,Industry,bad payed,26000.0,0.4183723385082773
14394,5,25-34,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed,58000.0,0.9332921397492341
14395,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Public & Government,bad payed,61500.0,0.9896114930099638
14396,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,125000.0,2.0114054735974873
14397,1,35-44,11 - 20 years,1 year or less,College degree,Woman,Non profit Organization,well payed,54180.0,1.4124382156040793
14398,4,25-34,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,bad payed,59500.0,0.957429005432404
14400,0,25-34,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Non-binary,Education,bad payed,46000.0,0.7401972142838753
14401,1,18-24,2 - 4 years,1 year or less,College degree,Man,Banking & Insurance,well payed,70000.0,1.1263870652145929
14402,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,92000.0,1.4803944285677506
14403,3,35-44,5-7 years,2 - 4 years,PhD,Woman,Education,well payed,68000.0,1.094204577637033
14404,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed,53000.0,0.8528359208053345
14405,2,25-34,5-7 years,2 - 4 years,Some college,Woman,Banking & Insurance,well payed,82000.0,1.3194819906799515
14406,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,115920.0,3.021960833385472
14407,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,165000.0,2.655055225148683
14408,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Culture,well payed,51350.0,1.2233180865256337
14409,4,25-34,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,80000.0,1.287299503102392
14410,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed,75000.0,1.2068432841584924
14411,1,45-54,21 - 30 years,21 - 30 years,College degree,Man,Education,well payed,65000.0,1.0459308462706933
14412,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,well payed,67000.0,1.0781133338482531
14413,2,25-34,11 - 20 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,60000.0,0.9654746273267939
14414,0,45-54,21 - 30 years,8 - 10 years,Master's degree,Woman,Education,well payed,101000.0,1.6252156226667698
14415,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed,68000.0,1.094204577637033
14416,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed,122000.0,1.9631317422311476
14417,1,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,115000.0,1.8504930357096883
14418,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Man,Banking & Insurance,well payed,92500.0,1.4884400504621405
14419,2,25-34,8 - 10 years,2 - 4 years,Master's degree,Man,Health,bad payed,48000.0,0.7723797018614351
14420,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed,70000.0,1.1263870652145929
14422,2,25-34,2 - 4 years,1 year or less,College degree,Woman,Industry,well payed,61620.0,1.4679817038307605
14423,2,25-34,5-7 years,1 year or less,College degree,Woman,Law,bad payed,23700.0,0.5646083476272156
14424,5,25-34,5-7 years,5-7 years,College degree,Woman,Consulting,well payed,185000.0,2.976880100924281
14425,3,35-44,21 - 30 years,21 - 30 years,Master's degree,Man,Education,well payed,130000.0,2.0918616925413867
14426,5,35-44,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,well payed,75000.0,1.2068432841584924
14427,5,25-34,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Industry,well payed,100000.0,1.6091243788779899
14428,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed,105000.0,1.6895805978218892
14429,5,25-34,11 - 20 years,5-7 years,College degree,Woman,Culture,bad payed,35000.0,0.5631935326072964
14430,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,155000.0,2.494142787260884
14431,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,bad payed,55000.0,0.8850184083828944
14432,1,45-54,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,well payed,172000.0,2.7676939316701423
14433,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,well payed,160000.0,2.574599006204784
14434,2,25-34,2 - 4 years,2 - 4 years,PhD,Man,Education,well payed,105000.0,1.6895805978218892
14435,5,25-34,5-7 years,5-7 years,College degree,Man,Other,well payed,95000.0,1.5286681599340903
14436,4,25-34,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,83000.0,1.3355732344687314
14437,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed,40997.0,0.6596927216086095
14439,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Advertising,well payed,53550.0,1.3960145154226367
14440,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,105000.0,1.6895805978218892
14441,0,25-34,11 - 20 years,11 - 20 years,Master's degree,Man,Public & Government,well payed,74200.0,1.9518097643097643
14442,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,bad payed,45580.0,0.7211842738158528
14444,1,35-44,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed,110880.0,2.89057123193393
14445,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Education,bad payed,60000.0,0.9654746273267939
14446,3,35-44,11 - 20 years,5-7 years,Master's degree,Man,Public & Government,well payed,98600.0,1.586596637573698
14447,5,25-34,5-7 years,5-7 years,College degree,Woman,Education,bad payed,58000.0,0.9332921397492341
14448,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,87769.0,2.0909329140461215
14449,2,25-34,8 - 10 years,1 year or less,College degree,Woman,Law,bad payed,32760.0,0.8540324094350248
14450,2,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Education,bad payed,53000.0,0.8528359208053345
14451,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Unidentified,bad payed,49500.0,0.796516567544605
14452,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,120000.0,1.9309492546535878
14453,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,70000.0,1.1263870652145929
14454,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,106000.0,1.705671841610669
14455,2,18-24,1 year or less,1 year or less,College degree,Woman,Health,well payed,98000.0,1.57694189130043
14456,4,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,80000.0,1.287299503102392
14458,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Health,well payed,66500.0,1.0700677119538633
14459,0,45-54,8 - 10 years,2 - 4 years,Master's degree,Man,Unidentified,bad payed,61000.0,0.9815658711155738
14460,0,25-34,2 - 4 years,1 year or less,Master's degree,Woman,Technology & Science,well payed,105070.0,2.503097007813989
14461,3,45-54,21 - 30 years,2 - 4 years,Master's degree,Man,Education,bad payed,26000.0,0.4183723385082773
14463,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed,63000.0,1.0137483586931335
14464,5,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,bad payed,60100.0,0.9670837517056718
14465,1,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,50000.0,0.8045621894389949
14466,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,89000.0,1.4321206972014109
14467,1,18-24,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,bad payed,60000.0,0.9654746273267939
14468,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,90000.0,1.4482119409901908
14469,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,87690.0,2.0890508862206976
14470,1,18-24,2 - 4 years,1 year or less,College degree,Woman,Industry,bad payed,33390.0,0.8704561096164676
14471,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Advertising,well payed,77100.0,1.24063489611493
14473,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,well payed,80000.0,1.287299503102392
14474,1,18-24,1 year or less,1 year or less,College degree,Woman,Industry,bad payed,58000.0,0.9332921397492341
14475,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed,160000.0,2.574599006204784
14476,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,155000.0,2.494142787260884
14477,0,25-34,8 - 10 years,5-7 years,PhD,Woman,Technology & Science,well payed,154000.0,2.4780515434721044
14478,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,197820.0,5.157041856973034
14479,4,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed,93600.0,1.5061404186297984
14481,5,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,101500.0,1.6332612445611596
14482,5,25-34,8 - 10 years,5-7 years,College degree,Prefer not to answer,Unidentified,well payed,135000.0,2.1723179114852864
14483,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,well payed,65600.0,1.0555855925439612
14484,0,18-24,1 year or less,1 year or less,Master's degree,Woman,Industry,bad payed,58000.0,0.9332921397492341
14485,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,55000.0,0.8850184083828944
14486,1,35-44,11 - 20 years,2 - 4 years,College degree,Prefer not to answer,Industry,well payed,130000.0,2.0918616925413867
14487,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,70600.0,1.1360418114878608
14488,1,35-44,21 - 30 years,21 - 30 years,High School,Woman,Non profit Organization,well payed,80038.0,1.2879109703663654
14489,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Other,well payed,90000.0,1.4482119409901908
14490,0,35-44,11 - 20 years,5-7 years,Some college,Man,Technology & Science,well payed,79000.0,1.882027825424052
14491,4,25-34,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,47700.0,1.0434988055548264
14492,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,60000.0,0.9654746273267939
14493,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,130000.0,2.0918616925413867
14494,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Culture,well payed,75000.0,1.2068432841584924
14495,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Other,bad payed,55000.0,0.8850184083828944
14496,1,35-44,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,well payed,103000.0,1.6573981102443296
14497,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,bad payed,51000.0,0.8206534332277748
14498,1,55-64,31 - 40 years,21 - 30 years,College degree,Woman,Banking & Insurance,well payed,104000.0,1.6734893540331093
14499,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,80000.0,1.287299503102392
14500,0,25-34,2 - 4 years,1 year or less,Master's degree,Woman,Health,well payed,63200.0,1.5056222603392415
14501,4,18-24,1 year or less,1 year or less,College degree,Woman,Technology & Science,well payed,142000.0,2.2849566180067455
14504,4,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,115000.0,1.8504930357096883
14505,1,18-24,2 - 4 years,2 - 4 years,College degree,Man,Banking & Insurance,well payed,40320.0,1.0511168116123382
14506,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,75000.0,1.2068432841584924
14507,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,53000.0,0.8528359208053345
14508,4,18-24,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,well payed,82000.0,1.3194819906799515
14509,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,bad payed,48000.0,0.7723797018614351
14510,2,25-34,8 - 10 years,2 - 4 years,Some college,Woman,Health,bad payed,32000.0,0.5149198012409567
14511,1,18-24,2 - 4 years,1 year or less,Some college,Woman,Banking & Insurance,bad payed,42016.0,0.6760896990293762
14512,2,25-34,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Culture,well payed,115000.0,1.8504930357096883
14513,4,25-34,8 - 10 years,2 - 4 years,College degree,Man,Technology & Science,well payed,78000.0,1.2551170155248321
14514,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed,23000.0,0.37009860714193765
14515,0,25-34,1 year or less,1 year or less,PhD,Woman,Banking & Insurance,well payed,63000.0,1.0137483586931335
14517,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed,46620.0,1.215353813426766
14518,5,25-34,5-7 years,5-7 years,PhD,Woman,Industry,well payed,130000.0,2.0918616925413867
14519,1,35-44,11 - 20 years,5-7 years,College degree,Man,Health,well payed,83200.0,1.3387914832264876
14520,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed,121000.0,1.9470404984423677
14521,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed,165000.0,2.655055225148683
14522,1,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Banking & Insurance,well payed,74340.0,1.9379966214102486
14523,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed,67000.0,1.0781133338482531
14524,0,25-34,8 - 10 years,5-7 years,Some college,Woman,Technology & Science,well payed,107000.0,1.721763085399449
14525,0,25-34,5-7 years,5-7 years,Some college,Man,Technology & Science,bad payed,35471.52,0.9247200150159545
14526,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,bad payed,36400.0,0.5857212739115882
14527,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,84800.0,1.341738183843447
14528,0,55-64,41 years or more,21 - 30 years,Some college,Man,Consulting,well payed,180000.0,2.8964238819803816
14529,5,25-34,11 - 20 years,5-7 years,College degree,Woman,Education,bad payed,59780.0,0.9619345536932623
14530,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,120000.0,1.9309492546535878
14531,2,25-34,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Education,well payed,77000.0,1.2390257717360522
14533,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,93777.0,1.5089885687804125
14535,2,25-34,8 - 10 years,2 - 4 years,Some college,Man,Public & Government,well payed,70000.0,1.1263870652145929
14536,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,well payed,48236.36,1.0552323699017319
14537,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed,45000.0,0.7241059704950954
14538,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,108000.0,1.737854329188229
14539,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,82000.0,1.3194819906799515
14540,2,45-54,11 - 20 years,5-7 years,Some college,Woman,Health,bad payed,48000.0,0.7723797018614351
14541,2,18-24,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,49500.0,0.796516567544605
14542,2,18-24,2 - 4 years,2 - 4 years,College degree,Man,Industry,well payed,84000.0,1.3516644782575113
14543,4,25-34,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,87000.0,1.399938209623851
14544,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,157000.0,2.526325274838444
14545,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed,86000.0,1.3838469658350712
14546,5,25-34,5-7 years,5-7 years,College degree,Man,Culture,bad payed,56000.0,0.9011096521716743
14547,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,bad payed,41080.0,0.9786544692205069
14548,2,18-24,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,49500.0,0.796516567544605
14549,0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,170000.0,2.7355114440925825
14550,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Culture,well payed,120000.0,1.9309492546535878
14552,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Health,bad payed,46000.0,0.7401972142838753
14553,5,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed,40000.0,0.643649751551196
14554,1,35-44,8 - 10 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,bad payed,37100.0,0.5870104554315081
14555,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,76000.0,1.2229345279472723
14556,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed,73000.0,1.1746607965809326
14557,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Unidentified,well payed,100000.0,1.6091243788779899
14558,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,34137.48,0.8132618639222413
14559,2,45-54,21 - 30 years,2 - 4 years,College degree,Prefer not to answer,Education,well payed,51350.0,1.2233180865256337
14560,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Culture,bad payed,50000.0,0.8045621894389949
14561,1,18-24,2 - 4 years,1 year or less,College degree,Woman,Other,well payed,70000.0,1.1263870652145929
14562,2,25-34,5-7 years,5-7 years,College degree,Woman,Health,bad payed,32000.0,0.5149198012409567
14563,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed,49494.0,0.7964200200818723
14564,2,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Health,well payed,65000.0,1.0459308462706933
14565,0,35-44,21 - 30 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,72480.0,1.166293349810767
14566,1,18-24,2 - 4 years,1 year or less,College degree,Woman,Banking & Insurance,well payed,40320.0,1.0511168116123382
14567,0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Education,well payed,63000.0,1.0137483586931335
14568,0,45-54,21 - 30 years,21 - 30 years,Some college,Woman,Public & Government,well payed,81000.0,1.3033907468911716
14570,0,25-34,11 - 20 years,5-7 years,Master's degree,Woman,Industry,well payed,120000.0,1.9309492546535878
14571,5,25-34,5-7 years,5-7 years,College degree,Man,Industry,well payed,86500.0,1.3918925877294612
14574,5,18-24,2 - 4 years,1 year or less,College degree,Woman,Non profit Organization,bad payed,25000.0,0.40228109471949747
14575,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,140000.0,2.2527741304291857
14576,5,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,well payed,70725.0,1.1380532169614583
14578,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,70000.0,1.1263870652145929
14580,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,bad payed,54000.0,0.8689271645941145
14583,0,35-44,8 - 10 years,8 - 10 years,High School,Woman,Other,well payed,63000.0,1.0137483586931335
14584,0,25-34,11 - 20 years,11 - 20 years,Master's degree,Prefer not to answer,Banking & Insurance,well payed,134000.0,2.1562266676965063
14585,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed,160000.0,2.574599006204784
14587,1,35-44,21 - 30 years,11 - 20 years,High School,Man,Other,bad payed,49000.0,0.788470945650215
14589,5,25-34,8 - 10 years,5-7 years,PhD,Man,Other,well payed,59784.0,1.2158633312995728
14590,4,25-34,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed,130000.0,2.0918616925413867
14591,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,bad payed,59600.0,0.9590381298112819
14592,1,45-54,21 - 30 years,21 - 30 years,College degree,Man,Banking & Insurance,well payed,139500.0,2.244728508534796
14594,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,50000.0,0.8045621894389949
14595,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Consulting,well payed,120000.0,1.9309492546535878
14596,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Unidentified,well payed,87000.0,1.399938209623851
14597,0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,well payed,94000.0,1.5125769161453104
14598,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,110000.0,1.7700368167657887
14599,0,25-34,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed,87000.0,1.399938209623851
