,how_old_are_you,adjusted_annual_salary,annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,harmonized_salary
16498,25-34,1.8022193043433485,112000.0,8 - 10 years,8 - 10 years,College degree,Man,Industry,112000.0
16499,25-34,0.8657327996950639,46000.0,2 - 4 years,2 - 4 years,College degree,Woman,Culture,36340.0
16500,25-34,1.8504930357096883,115000.0,8 - 10 years,5-7 years,Master's degree,Man,Technology & Science,115000.0
16501,35-44,2.8159676630364823,175000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,175000.0
16502,55-64,1.6654437321387194,103500.0,21 - 30 years,21 - 30 years,College degree,Woman,Other,103500.0
16503,18-24,0.8045621894389949,50000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,50000.0
16504,25-34,1.6734893540331093,104000.0,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,104000.0
16505,25-34,1.9309492546535878,120000.0,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,120000.0
16506,35-44,2.3975953245282047,149000.0,21 - 30 years,11 - 20 years,Master's degree,Man,Unidentified,149000.0
16507,25-34,1.2390257717360522,77000.0,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,77000.0
16508,25-34,0.8850184083828944,55000.0,8 - 10 years,2 - 4 years,College degree,Man,Consulting,55000.0
16509,18-24,0.20918616925413866,13000.0,1 year or less,1 year or less,College degree,Non-binary,Health,13000.0
16510,35-44,2.655055225148683,165000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,165000.0
16511,25-34,2.3525347817800646,125000.0,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,98750.0
16513,25-34,1.7778030935925673,106000.0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,112360.0
16514,35-44,3.6132140399174126,110000.0,8 - 10 years,8 - 10 years,PhD,Man,Technology & Science,138600.0
16515,35-44,1.6091243788779899,100000.0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,100000.0
16516,25-34,0.35400736335315774,22000.0,1 year or less,1 year or less,Some college,Woman,Health,22000.0
16517,25-34,1.6938250428816466,90000.0,5-7 years,5-7 years,College degree,Man,Industry,71100.0
16518,45-54,1.6516857186993126,102645.0,21 - 30 years,21 - 30 years,Some college,Man,Technology & Science,102645.0
16519,18-24,1.5766752174185072,48000.0,5-7 years,5-7 years,High School,Man,Technology & Science,60480.0
16520,35-44,2.1229273870783305,112800.0,11 - 20 years,2 - 4 years,College degree,Non-binary,Technology & Science,89112.0
16521,35-44,0.8868798097979104,27000.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,34020.0
16522,25-34,1.6091243788779899,100000.0,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,100000.0
16523,25-34,2.1723179114852864,135000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,135000.0
16524,25-34,0.7241059704950954,45000.0,8 - 10 years,1 year or less,College degree,Man,Unidentified,45000.0
16525,35-44,0.5020468062099328,31200.0,11 - 20 years,2 - 4 years,College degree,Woman,Industry,31200.0
16526,25-34,1.9631317422311476,122000.0,2 - 4 years,2 - 4 years,PhD,Man,Health,122000.0
16527,35-44,1.3677557220462913,85000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,85000.0
16530,25-34,0.6746253958445972,41925.0,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,41925.0
16532,25-34,2.574599006204784,160000.0,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,160000.0
16535,25-34,1.2068432841584924,75000.0,5-7 years,2 - 4 years,Some college,Man,Health,75000.0
16536,18-24,1.5286681599340903,95000.0,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,95000.0
16537,35-44,1.1263870652145929,70000.0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,70000.0
16540,45-54,2.0918616925413867,130000.0,11 - 20 years,8 - 10 years,College degree,Woman,Health,130000.0
16541,18-24,1.287299503102392,80000.0,1 year or less,1 year or less,College degree,Woman,Technology & Science,80000.0
16542,25-34,1.3194819906799515,82000.0,8 - 10 years,8 - 10 years,Master's degree,Non-binary,Consulting,82000.0
16543,25-34,0.6024561674519193,37440.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Industry,37440.0
16544,25-34,1.416029453412631,88000.0,11 - 20 years,8 - 10 years,College degree,Woman,Education,88000.0
16545,45-54,1.721763085399449,107000.0,21 - 30 years,21 - 30 years,College degree,Woman,Health,107000.0
16546,35-44,1.6180802718626208,125000.0,11 - 20 years,2 - 4 years,Master's degree,Man,Public & Government,128750.0
16547,35-44,0.9654746273267939,60000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,60000.0
16548,25-34,1.4964856723565305,93000.0,8 - 10 years,5-7 years,College degree,Man,Technology & Science,93000.0
16549,55-64,1.3355732344687314,83000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,83000.0
16550,25-34,1.6573981102443296,103000.0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,103000.0
16551,45-54,0.9976571149043537,62000.0,21 - 30 years,11 - 20 years,Some college,Woman,Industry,62000.0
16552,25-34,1.0057027367987437,62500.0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,62500.0
16554,45-54,0.9654746273267939,60000.0,21 - 30 years,5-7 years,College degree,Man,Other,60000.0
16555,35-44,2.494142787260884,155000.0,11 - 20 years,8 - 10 years,College degree,Non-binary,Technology & Science,155000.0
16556,25-34,1.2068432841584924,75000.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,75000.0
16557,25-34,1.576842639505071,68000.0,5-7 years,5-7 years,PhD,Man,Industry,72080.0
16558,35-44,1.6252156226667698,101000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,101000.0
16559,25-34,0.8045621894389949,50000.0,11 - 20 years,8 - 10 years,Master's degree,Man,Advertising,50000.0
16560,25-34,1.56889626940604,97500.0,8 - 10 years,8 - 10 years,College degree,Man,Advertising,97500.0
16561,45-54,1.7700368167657887,110000.0,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,110000.0
16562,25-34,2.413686568316985,150000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Other,150000.0
16563,18-24,0.38490255142761515,23920.0,2 - 4 years,1 year or less,College degree,Woman,Industry,23920.0
16564,35-44,1.2551170155248321,78000.0,11 - 20 years,11 - 20 years,College degree,Woman,Industry,78000.0
16566,25-34,1.0182694112494526,31000.0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,39060.0
16567,25-34,0.7723797018614351,48000.0,1 year or less,5-7 years,PhD,Man,Technology & Science,48000.0
16568,25-34,1.5946422594680878,99100.0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,99100.0
16569,25-34,1.5608506475116501,97000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,97000.0
16570,25-34,0.9815658711155738,61000.0,5-7 years,2 - 4 years,Master's degree,Woman,Industry,61000.0
16571,35-44,2.5620972283050745,78000.0,11 - 20 years,11 - 20 years,College degree,Man,Culture,98280.0
16572,25-34,1.0351153039832286,55000.0,5-7 years,2 - 4 years,College degree,Woman,Health,43450.0
16573,25-34,0.7241059704950954,45000.0,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,45000.0
16574,25-34,0.6693957416132438,41600.0,1 year or less,1 year or less,College degree,Woman,Education,41600.0
16575,35-44,1.9761292166952544,105000.0,11 - 20 years,5-7 years,Some college,Man,Technology & Science,82950.0
16576,25-34,1.2482012137896517,38000.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Advertising,47880.0
16578,45-54,1.399938209623851,87000.0,21 - 30 years,8 - 10 years,PhD,Woman,Consulting,87000.0
16579,25-34,0.9033733562035449,48000.0,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Banking & Insurance,37920.0
16580,45-54,2.54073756432247,135000.0,21 - 30 years,21 - 30 years,Master's degree,Man,Industry,106650.0
16581,35-44,1.6734893540331093,104000.0,11 - 20 years,1 year or less,Master's degree,Man,Non profit Organization,104000.0
16582,25-34,1.5206225380397003,94500.0,5-7 years,2 - 4 years,College degree,Woman,Industry,94500.0
16583,25-34,1.330424036456322,82680.0,8 - 10 years,5-7 years,College degree,Woman,Public & Government,82680.0
16584,35-44,0.8211850090721392,25000.0,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,31500.0
16585,25-34,1.2233180865256337,65000.0,5-7 years,2 - 4 years,College degree,Woman,Public & Government,51350.0
16587,25-34,1.5608506475116501,97000.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Health,97000.0
16588,35-44,1.9215729212288057,58500.0,11 - 20 years,5-7 years,Master's degree,Man,Technology & Science,73710.0
16589,25-34,0.949383383538014,59000.0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,59000.0
16590,45-54,1.2221397018435567,89000.0,31 - 40 years,11 - 20 years,College degree,Man,Technology & Science,63190.0
16591,35-44,1.0620220900594732,66000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,66000.0
16592,35-44,0.7400523930897763,45991.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Non profit Organization,45991.0
16593,25-34,1.1585695527921527,72000.0,11 - 20 years,8 - 10 years,College degree,Man,Education,72000.0
16594,35-44,3.3175874366514426,101000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,127260.0
16595,25-34,1.0511168116123382,32000.0,2 - 4 years,2 - 4 years,PhD,Man,Technology & Science,40320.0
16596,45-54,1.2068432841584924,75000.0,21 - 30 years,1 year or less,Master's degree,Woman,Education,75000.0
16597,25-34,1.5206225380397003,94500.0,5-7 years,2 - 4 years,College degree,Woman,Industry,94500.0
16598,25-34,1.399938209623851,87000.0,5-7 years,5-7 years,College degree,Woman,Consulting,87000.0
16599,35-44,1.0781133338482531,67000.0,21 - 30 years,21 - 30 years,College degree,Woman,Other,67000.0
16600,25-34,2.0918616925413867,130000.0,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,130000.0
16601,25-34,0.9652654411575398,59987.0,5-7 years,5-7 years,College degree,Woman,Health,59987.0
16602,25-34,0.8045621894389949,50000.0,2 - 4 years,2 - 4 years,College degree,Woman,Other,50000.0
16603,25-34,0.9172008959604542,57000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,57000.0
16604,45-54,0.8045621894389949,50000.0,11 - 20 years,5-7 years,Master's degree,Woman,Health,50000.0
16606,45-54,0.7057619525758864,43860.0,21 - 30 years,11 - 20 years,College degree,Woman,Education,43860.0
16608,25-34,0.9654746273267939,60000.0,5-7 years,5-7 years,College degree,Woman,Health,60000.0
16609,25-34,1.0378852243763035,64500.0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,64500.0
16610,25-34,1.5286681599340903,95000.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,95000.0
16611,25-34,1.2068432841584924,75000.0,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,75000.0
16612,35-44,0.643649751551196,40000.0,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,40000.0
16613,35-44,1.3677557220462913,85000.0,11 - 20 years,5-7 years,College degree,Man,Law,85000.0
16614,35-44,2.457596095179988,114000.0,11 - 20 years,8 - 10 years,Some college,Man,Technology & Science,120840.0
16615,25-34,1.1585695527921527,72000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,72000.0
16616,35-44,2.1650020495286086,122000.0,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,86620.0
16617,55-64,1.5286681599340903,95000.0,31 - 40 years,11 - 20 years,Master's degree,Man,Advertising,95000.0
16618,18-24,0.8045621894389949,50000.0,1 year or less,1 year or less,College degree,Woman,Law,50000.0
16619,25-34,0.6758322391287557,42000.0,5-7 years,5-7 years,College degree,Man,Health,42000.0
16620,55-64,1.721763085399449,107000.0,31 - 40 years,21 - 30 years,Master's degree,Man,Education,107000.0
16621,45-54,0.7881491207744394,48980.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Culture,48980.0
16622,25-34,1.6493524883499395,102500.0,8 - 10 years,2 - 4 years,College degree,Non-binary,Education,102500.0
16623,45-54,2.0114054735974873,125000.0,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,125000.0
16624,45-54,1.6895805978218892,105000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,105000.0
16625,45-54,1.411520869068039,75000.0,21 - 30 years,21 - 30 years,College degree,Man,Unidentified,59250.0
16628,35-44,1.3550600343053174,72000.0,8 - 10 years,8 - 10 years,College degree,Woman,Culture,56880.0
16630,25-34,1.887502896423882,117300.0,8 - 10 years,5-7 years,Some college,Non-binary,Technology & Science,117300.0
16631,25-34,1.5447594037228702,96000.0,8 - 10 years,8 - 10 years,College degree,Man,Industry,96000.0
16632,35-44,2.8964238819803816,180000.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Consulting,180000.0
16633,25-34,1.2438531448726862,77300.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,77300.0
16634,25-34,1.4964856723565305,93000.0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,93000.0
16635,45-54,2.0114054735974873,125000.0,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,125000.0
16637,35-44,1.8504930357096883,115000.0,11 - 20 years,5-7 years,Master's degree,Woman,Banking & Insurance,115000.0
16638,25-34,0.5471022888185165,34000.0,5-7 years,5-7 years,Master's degree,Man,Education,34000.0
16639,35-44,2.2366828866404056,139000.0,11 - 20 years,5-7 years,High School,Man,Technology & Science,139000.0
16641,45-54,1.2797789212883552,68000.0,21 - 30 years,5-7 years,Master's degree,Woman,Health,53720.0
16643,25-34,1.094204577637033,68000.0,5-7 years,2 - 4 years,College degree,Man,Technology & Science,68000.0
16644,18-24,0.643649751551196,40000.0,5-7 years,2 - 4 years,College degree,Woman,Culture,40000.0
16645,25-34,1.9792229860199275,123000.0,8 - 10 years,5-7 years,College degree,Man,Technology & Science,123000.0
16646,35-44,2.0918616925413867,130000.0,11 - 20 years,5-7 years,Master's degree,Man,Technology & Science,130000.0
16647,45-54,1.1585695527921527,72000.0,21 - 30 years,11 - 20 years,College degree,Man,Non profit Organization,72000.0
16648,35-44,1.9309492546535878,120000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,120000.0
16649,18-24,0.7562884580726552,47000.0,2 - 4 years,2 - 4 years,College degree,Woman,Culture,47000.0
16650,25-34,1.1907520403697125,74000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,74000.0
16651,25-34,2.413686568316985,150000.0,11 - 20 years,2 - 4 years,PhD,Woman,Technology & Science,150000.0
16652,25-34,0.5631935326072964,35000.0,8 - 10 years,2 - 4 years,Some college,Woman,Banking & Insurance,35000.0
16653,25-34,0.8785819108673825,54600.0,11 - 20 years,8 - 10 years,College degree,Woman,Health,54600.0
16654,55-64,1.1263870652145929,70000.0,21 - 30 years,2 - 4 years,College degree,Woman,Technology & Science,70000.0
16655,35-44,1.4964856723565305,93000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,93000.0
16656,35-44,1.6285786926186248,101209.0,11 - 20 years,11 - 20 years,College degree,Man,Public & Government,101209.0
16657,25-34,1.1746607965809326,73000.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,73000.0
16658,18-24,1.9792229860199275,123000.0,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,123000.0
16659,25-34,1.9792229860199275,123000.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,123000.0
16660,35-44,1.6895805978218892,105000.0,11 - 20 years,5-7 years,Master's degree,Man,Technology & Science,105000.0
16661,25-34,1.094204577637033,68000.0,5-7 years,5-7 years,College degree,Man,Other,68000.0
16662,35-44,0.7241059704950954,45000.0,21 - 30 years,8 - 10 years,College degree,Woman,Industry,45000.0
16663,18-24,0.5631935326072964,35000.0,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,35000.0
16664,25-34,2.0114054735974873,125000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,125000.0
16665,35-44,1.6573981102443296,103000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,103000.0
16666,25-34,0.5953760201848562,37000.0,5-7 years,5-7 years,Master's degree,Woman,Education,37000.0
16667,45-54,1.929078521059653,102500.0,21 - 30 years,8 - 10 years,PhD,Woman,Public & Government,80975.0
16668,45-54,2.8964238819803816,180000.0,21 - 30 years,5-7 years,College degree,Man,Technology & Science,180000.0
16669,25-34,0.9654746273267939,60000.0,8 - 10 years,8 - 10 years,College degree,Man,Advertising,60000.0
16670,45-54,2.7355114440925825,170000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,170000.0
16671,25-34,1.3677557220462913,85000.0,5-7 years,2 - 4 years,Master's degree,Prefer not to answer,Technology & Science,85000.0
16672,18-24,0.4602095723591051,28600.0,2 - 4 years,5-7 years,College degree,Non-binary,Public & Government,28600.0
16673,25-34,0.5631935326072964,35000.0,8 - 10 years,2 - 4 years,Some college,Woman,Banking & Insurance,35000.0
16674,25-34,0.8898457815195283,55300.0,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,55300.0
16675,25-34,0.8850184083828944,55000.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,55000.0
16677,35-44,1.3138960145154228,40000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,50400.0
16678,35-44,2.2527741304291857,140000.0,8 - 10 years,5-7 years,Some college,Man,Technology & Science,140000.0
16679,35-44,0.9815658711155738,61000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,61000.0
16680,45-54,1.6091243788779899,100000.0,8 - 10 years,8 - 10 years,College degree,Woman,Health,100000.0
16682,25-34,2.188409155274066,136000.0,5-7 years,5-7 years,College degree,Man,Technology & Science,136000.0
16683,25-34,0.9332921397492341,58000.0,8 - 10 years,8 - 10 years,College degree,Non-binary,Education,58000.0
16684,25-34,1.287299503102392,80000.0,5-7 years,5-7 years,Master's degree,Man,Education,80000.0
16685,35-44,1.6895805978218892,105000.0,21 - 30 years,11 - 20 years,College degree,Woman,Industry,105000.0
16686,35-44,2.381504080739425,148000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Advertising,148000.0
16687,55-64,2.8964238819803816,180000.0,31 - 40 years,31 - 40 years,PhD,Woman,Public & Government,180000.0
16688,25-34,0.643649751551196,40000.0,8 - 10 years,5-7 years,Some college,Man,Health,40000.0
16689,25-34,1.4482119409901908,90000.0,5-7 years,5-7 years,College degree,Woman,Culture,90000.0
16690,25-34,2.027496717386267,126000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Industry,126000.0
16691,18-24,1.016295025728988,54000.0,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,42660.0
16692,25-34,0.6677866172343657,41500.0,5-7 years,5-7 years,College degree,Woman,Other,41500.0
16693,35-44,1.9309492546535878,120000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,120000.0
16694,25-34,0.788470945650215,49000.0,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,49000.0
16695,55-64,1.4482119409901908,90000.0,21 - 30 years,11 - 20 years,College degree,Woman,Health,90000.0
16696,18-24,0.9654746273267939,60000.0,1 year or less,1 year or less,College degree,Man,Unidentified,60000.0
16698,25-34,1.3291367369532197,82600.0,8 - 10 years,5-7 years,College degree,Woman,Public & Government,82600.0
16699,25-34,0.3725122937102546,23150.0,11 - 20 years,5-7 years,College degree,Non-binary,Health,23150.0
16700,45-54,2.107952936330167,131000.0,31 - 40 years,21 - 30 years,PhD,Woman,Health,131000.0
16701,35-44,1.0781133338482531,67000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,67000.0
16702,35-44,2.365012826127761,72000.0,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,90720.0
16703,35-44,1.7700368167657887,110000.0,11 - 20 years,11 - 20 years,College degree,Man,Non profit Organization,110000.0
16704,25-34,2.408995616542786,128000.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,101120.0
16706,25-34,2.7920290308452733,85000.0,5-7 years,2 - 4 years,PhD,Man,Technology & Science,107100.0
16707,35-44,1.287299503102392,80000.0,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,80000.0
16708,25-34,1.7700368167657887,110000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Consulting,110000.0
16710,45-54,0.6693957416132438,41600.0,31 - 40 years,5-7 years,Master's degree,Woman,Banking & Insurance,41600.0
16711,25-34,2.0918616925413867,130000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,130000.0
16712,35-44,1.0137483586931335,63000.0,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,63000.0
16714,18-24,0.8141364794933189,50595.0,1 year or less,1 year or less,College degree,Woman,Health,50595.0
16715,25-34,2.4297778121057645,151000.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,151000.0
16716,45-54,1.0459308462706933,65000.0,31 - 40 years,21 - 30 years,Master's degree,Prefer not to answer,Education,65000.0
16717,45-54,2.413686568316985,150000.0,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,150000.0
16718,35-44,0.8206534332277748,51000.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,51000.0
16719,45-54,2.2527741304291857,140000.0,11 - 20 years,11 - 20 years,PhD,Man,Education,140000.0
16721,25-34,1.0781133338482531,67000.0,8 - 10 years,5-7 years,College degree,Man,Technology & Science,67000.0
16722,25-34,1.8183105481321284,113000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,113000.0
16723,35-44,1.4482119409901908,90000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,90000.0
16724,25-34,1.1168116123381093,34000.0,8 - 10 years,5-7 years,Some college,Woman,Technology & Science,42840.0
16725,45-54,1.4482119409901908,90000.0,21 - 30 years,11 - 20 years,Some college,Woman,Health,90000.0
16727,25-34,1.3194819906799515,82000.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,82000.0
16728,18-24,0.5631935326072964,35000.0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,35000.0
16729,25-34,1.3677557220462913,85000.0,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,85000.0
16731,55-64,1.2068432841584924,75000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,75000.0
16732,25-34,1.4803944285677506,92000.0,8 - 10 years,5-7 years,Some college,Woman,Technology & Science,92000.0
16733,25-34,0.5149198012409567,32000.0,11 - 20 years,8 - 10 years,Some college,Man,Health,32000.0
16734,35-44,1.9309492546535878,120000.0,11 - 20 years,5-7 years,College degree,Man,Education,120000.0
16735,25-34,0.941013912712026,50000.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,39500.0
16736,25-34,2.051633583069437,127500.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,127500.0
16738,25-34,0.7562884580726552,47000.0,2 - 4 years,1 year or less,College degree,Woman,Industry,47000.0
16739,18-24,0.7860733503256868,48851.0,2 - 4 years,2 - 4 years,Some college,Prefer not to answer,Health,48851.0
16741,35-44,1.9309492546535878,120000.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Health,120000.0
16742,35-44,0.5471022888185165,34000.0,11 - 20 years,2 - 4 years,College degree,Woman,Education,34000.0
16743,45-54,0.8045621894389949,50000.0,21 - 30 years,2 - 4 years,Master's degree,Woman,Health,50000.0
16744,35-44,1.814274823708786,96400.0,11 - 20 years,11 - 20 years,Master's degree,Man,Public & Government,76156.0
16745,25-34,0.643649751551196,40000.0,2 - 4 years,2 - 4 years,College degree,Woman,Law,40000.0
16746,25-34,2.0918616925413867,130000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,130000.0
16747,25-34,1.6573981102443296,103000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,103000.0
16748,35-44,0.9332921397492341,58000.0,8 - 10 years,2 - 4 years,College degree,Woman,Industry,58000.0
16749,35-44,1.9309492546535878,120000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,120000.0
16750,35-44,0.7883376087092536,24000.0,11 - 20 years,2 - 4 years,College degree,Woman,Unidentified,30240.0
16751,35-44,2.7355114440925825,170000.0,11 - 20 years,11 - 20 years,Master's degree,Non-binary,Technology & Science,170000.0
16755,25-34,0.6919234829175356,43000.0,8 - 10 years,8 - 10 years,College degree,Woman,Education,43000.0
16756,25-34,1.5286681599340903,95000.0,5-7 years,5-7 years,College degree,Man,Unidentified,95000.0
16757,25-34,1.9309492546535878,120000.0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,120000.0
16758,25-34,0.907707062125074,56410.0,8 - 10 years,2 - 4 years,Some college,Man,Other,56410.0
16759,35-44,1.7700368167657887,110000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Unidentified,110000.0
16760,25-34,2.8159676630364823,175000.0,5-7 years,11 - 20 years,PhD,Man,Education,175000.0
16761,25-34,1.6252156226667698,101000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,101000.0
16762,35-44,1.5286681599340903,95000.0,11 - 20 years,5-7 years,Master's degree,Man,Banking & Insurance,95000.0
16763,45-54,1.416029453412631,88000.0,21 - 30 years,5-7 years,Some college,Woman,Unidentified,88000.0
16764,25-34,2.3171391055843054,144000.0,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,144000.0
16766,25-34,1.0459308462706933,65000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,65000.0
16767,25-34,1.460183826369043,90744.0,2 - 4 years,2 - 4 years,Master's degree,Man,Technology & Science,90744.0
16768,35-44,1.0443217218918153,64900.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,64900.0
16769,45-54,1.4482119409901908,90000.0,21 - 30 years,11 - 20 years,College degree,Man,Industry,90000.0
16770,35-44,2.1999304858268327,136716.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,136716.0
16771,25-34,0.49882855745217686,31000.0,8 - 10 years,2 - 4 years,College degree,Non-binary,Public & Government,31000.0
16772,25-34,1.2233180865256337,65000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,51350.0
16773,35-44,1.0861589557426432,67500.0,11 - 20 years,11 - 20 years,High School,Man,Culture,67500.0
16774,35-44,1.016295025728988,54000.0,11 - 20 years,11 - 20 years,College degree,Man,Culture,42660.0
16775,25-34,1.3436188563631215,83500.0,5-7 years,2 - 4 years,Master's degree,Woman,Industry,83500.0
16776,25-34,2.572185319636467,159850.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,159850.0
16777,35-44,1.253507891145954,77900.0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,77900.0
16778,35-44,2.135081023587562,65000.0,11 - 20 years,8 - 10 years,College degree,Man,Culture,81900.0
16779,35-44,2.574599006204784,160000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,160000.0
16780,25-34,2.574599006204784,160000.0,11 - 20 years,5-7 years,College degree,Man,Industry,160000.0
16781,25-34,2.004389691305579,124564.0,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,124564.0
16782,35-44,1.3677557220462913,85000.0,11 - 20 years,11 - 20 years,Some college,Woman,Public & Government,85000.0
16783,35-44,2.0114054735974873,125000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,125000.0
16784,25-34,2.671146468937463,166000.0,5-7 years,5-7 years,College degree,Man,Technology & Science,166000.0
16785,35-44,0.2510234031049664,15600.0,11 - 20 years,11 - 20 years,College degree,Woman,Culture,15600.0
