,cluster,adjusted_annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,harmonized_salary
13014,4,0.8528359208053345,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,53000.0
13015,0,1.6445251152133056,2 - 4 years,2 - 4 years,College degree,Technology & Science,102200.0
13016,2,2.6457179359287357,5-7 years,5-7 years,PhD,Technology & Science,104940.0
13017,1,0.6838778610231456,8 - 10 years,5-7 years,Master's degree,Non profit Organization,42000.0
13018,3,1.9792229860199275,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,83000.0
13019,1,0.6758322391287557,8 - 10 years,5-7 years,Master's degree,Other,42000.0
13020,2,0.942946886022502,5-7 years,5-7 years,College degree,Advertising,58600.0
13021,0,3.1782941994284393,8 - 10 years,8 - 10 years,College degree,Advertising,134129.0
13022,0,0.5036559305888108,8 - 10 years,2 - 4 years,College degree,Retail,31200.0
13023,0,3.3791611956437784,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,190000.0
13024,2,1.260714509165989,5-7 years,2 - 4 years,College degree,Advertising,45360.0
13025,3,1.0459308462706933,2 - 4 years,2 - 4 years,Master's degree,Technology & Science,60000.0
13026,2,1.416029453412631,8 - 10 years,5-7 years,College degree,Banking & Insurance,80000.0
13027,0,1.0717917429326824,11 - 20 years,11 - 20 years,Some college,Technology & Science,47700.0
13028,0,1.3838469658350712,31 - 40 years,31 - 40 years,Some college,Construction,72000.0
13029,3,0.9091552740660642,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,51500.0
13030,2,0.8629251306608996,5-7 years,2 - 4 years,Some college,Banking & Insurance,50614.0
13031,0,1.1382624031307125,8 - 10 years,8 - 10 years,College degree,Human Ressources,70738.0
13032,0,0.6784229293787493,11 - 20 years,8 - 10 years,College degree,Education,42161.0
13033,2,3.531780064798933,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,138250.0
13034,1,0.8850184083828944,11 - 20 years,5-7 years,Master's degree,Education,55000.0
13035,1,1.0378852243763035,11 - 20 years,11 - 20 years,Master's degree,Education,64500.0
13036,2,1.4643031847789707,5-7 years,5-7 years,College degree,Banking & Insurance,85000.0
13037,0,0.0,11 - 20 years,8 - 10 years,College degree,Agriculture & Food,114000.0
13038,0,0.8032748899358925,21 - 30 years,2 - 4 years,College degree,Banking & Insurance,49920.0
13039,0,2.7033289565150227,11 - 20 years,11 - 20 years,Some college,Technology & Science,140000.0
13040,3,2.4635550272164175,2 - 4 years,2 - 4 years,PhD,Technology & Science,94500.0
13041,1,1.6252156226667698,11 - 20 years,11 - 20 years,Master's degree,Education,101000.0
13042,1,1.1943242964908216,11 - 20 years,11 - 20 years,Master's degree,Education,74222.0
13043,0,3.5400736335315774,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,168000.0
13044,0,1.6423700181442784,21 - 30 years,11 - 20 years,College degree,Unidentified,63000.0
13045,0,1.8504930357096883,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Non profit Organization,115000.0
13046,2,0.9896114930099638,5-7 years,5-7 years,Master's degree,Non profit Organization,61000.0
13047,3,0.8045621894389949,2 - 4 years,2 - 4 years,Master's degree,Culture,50000.0
13048,4,2.413686568316985,21 - 30 years,21 - 30 years,Master's degree,Advertising,150000.0
13049,1,0.6064789783991144,8 - 10 years,5-7 years,Some college,Health,37440.0
13050,1,0.9976571149043537,11 - 20 years,11 - 20 years,Master's degree,Education,62000.0
13051,2,0.5953760201848562,21 - 30 years,21 - 30 years,College degree,Education,37000.0
13052,3,1.1480369735086717,11 - 20 years,2 - 4 years,Some college,Public & Government,48190.0
13053,1,0.9011096521716743,11 - 20 years,5-7 years,Master's degree,Education,56000.0
13054,1,1.5447594037228702,11 - 20 years,11 - 20 years,College degree,Health,76000.0
13055,0,3.0895188074457405,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Other,160000.0
13056,0,2.8248764312081587,21 - 30 years,11 - 20 years,College degree,Technology & Science,108360.0
13057,2,0.7755979506191911,5-7 years,5-7 years,Master's degree,Culture,48000.0
13058,1,2.611190494580469,21 - 30 years,11 - 20 years,Master's degree,Health,148274.0
13059,4,1.099031950773667,21 - 30 years,21 - 30 years,Some college,Retail,64300.0
13060,1,4.344635822970573,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,200000.0
13061,2,1.0604129656805952,5-7 years,2 - 4 years,College degree,Construction,60500.0
13062,0,1.0781133338482531,11 - 20 years,5-7 years,College degree,Other,67000.0
13063,2,0.6520171983213615,5-7 years,2 - 4 years,Some college,Banking & Insurance,40520.0
13064,1,1.0459308462706933,11 - 20 years,11 - 20 years,Master's degree,Education,65000.0
13065,0,1.9068123889704178,11 - 20 years,11 - 20 years,College degree,Industry,103500.0
13066,2,1.0137483586931335,5-7 years,5-7 years,Master's degree,Education,63000.0
13067,0,0.9172008959604542,11 - 20 years,11 - 20 years,College degree,Education,57000.0
13068,2,0.6758322391287557,5-7 years,2 - 4 years,College degree,Banking & Insurance,42000.0
13069,0,1.0781133338482531,21 - 30 years,21 - 30 years,College degree,Industry,65000.0
13070,3,0.6708690919217235,2 - 4 years,2 - 4 years,PhD,Public & Government,42400.0
13071,0,0.6964290311783939,11 - 20 years,1 year or less,College degree,Law,33280.0
13072,3,4.588208304657032,5-7 years,2 - 4 years,Master's degree,Banking & Insurance,126000.0
13073,0,0.7916223487455422,31 - 40 years,21 - 30 years,College degree,Public & Government,30366.0
13074,0,2.107952936330167,8 - 10 years,8 - 10 years,College degree,Health,107000.0
13075,1,0.7723797018614351,11 - 20 years,11 - 20 years,PhD,Education,48000.0
13076,2,1.2068432841584924,5-7 years,5-7 years,College degree,Technology & Science,75000.0
13077,2,0.7080147267063155,5-7 years,2 - 4 years,College degree,Education,44000.0
13078,0,3.14583816070647,8 - 10 years,8 - 10 years,College degree,Technology & Science,170000.0
13079,3,1.4803944285677506,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Public & Government,80000.0
13080,1,7.353698411472413,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,257000.0
13081,4,1.8022193043433485,21 - 30 years,8 - 10 years,Unknown,Banking & Insurance,102000.0
13082,2,1.166857251762912,5-7 years,5-7 years,College degree,Non profit Organization,48980.0
13083,0,2.2366828866404056,11 - 20 years,5-7 years,College degree,Industry,130000.0
13084,0,3.620529852475477,11 - 20 years,11 - 20 years,College degree,Technology & Science,155000.0
13085,2,0.887528642413944,5-7 years,5-7 years,College degree,Advertising,55156.0
13086,0,1.2792538812080019,11 - 20 years,11 - 20 years,College degree,Consulting,72000.0
13087,3,0.9011096521716743,8 - 10 years,2 - 4 years,Master's degree,Social,56000.0
13088,0,1.3677557220462913,11 - 20 years,11 - 20 years,College degree,Other,85000.0
13089,2,0.8528359208053345,5-7 years,5-7 years,PhD,Technology & Science,53000.0
13090,0,1.0861589557426432,11 - 20 years,5-7 years,College degree,Non profit Organization,67500.0
13091,0,2.413686568316985,8 - 10 years,5-7 years,College degree,Technology & Science,110000.0
13092,3,0.9815658711155738,21 - 30 years,2 - 4 years,Master's degree,Education,61000.0
13093,2,2.135081023587562,5-7 years,5-7 years,PhD,Technology & Science,81900.0
13094,0,1.399938209623851,11 - 20 years,8 - 10 years,College degree,Non profit Organization,85000.0
13095,2,1.557632398753894,5-7 years,5-7 years,College degree,Other,88000.0
13096,1,3.5400736335315774,21 - 30 years,5-7 years,Master's degree,Health,180000.0
13097,3,1.9309492546535878,2 - 4 years,2 - 4 years,Master's degree,Technology & Science,107000.0
13098,0,1.6938250428816466,2 - 4 years,2 - 4 years,College degree,Technology & Science,71100.0
13099,0,1.57694189130043,11 - 20 years,5-7 years,College degree,Technology & Science,89000.0
13100,2,0.6468680003089519,5-7 years,2 - 4 years,College degree,Banking & Insurance,39000.0
13101,0,2.8964238819803816,11 - 20 years,8 - 10 years,College degree,Health,160000.0
13102,0,1.882675523287248,11 - 20 years,11 - 20 years,College degree,Industry,107000.0
13103,1,1.705671841610669,5-7 years,5-7 years,Master's degree,Health,103000.0
13104,4,1.7314655993901278,8 - 10 years,8 - 10 years,Master's degree,Other,72680.0
13105,0,1.3844906155866223,11 - 20 years,8 - 10 years,Master's degree,Social,86000.0
13106,2,1.3677557220462913,5-7 years,5-7 years,College degree,Unidentified,85000.0
13107,2,1.3766059061301203,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,61800.0
13108,0,2.494142787260884,5-7 years,2 - 4 years,College degree,Technology & Science,125000.0
13109,1,0.9976571149043537,11 - 20 years,11 - 20 years,Master's degree,Culture,62000.0
13110,0,1.5286681599340903,11 - 20 years,8 - 10 years,College degree,Unidentified,75000.0
13111,4,0.8769727864885044,8 - 10 years,8 - 10 years,Master's degree,Education,54500.0
13112,0,3.0090625885018407,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Technology & Science,137000.0
13113,0,3.0090625885018407,11 - 20 years,11 - 20 years,College degree,Technology & Science,162000.0
13114,3,1.2708864344378363,8 - 10 years,5-7 years,Master's degree,Public & Government,78980.0
13115,1,1.898766767076028,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,112000.0
13116,2,0.9438700494275167,5-7 years,5-7 years,College degree,Banking & Insurance,36206.1
13117,0,2.1723179114852864,11 - 20 years,11 - 20 years,Some college,Technology & Science,135000.0
13118,0,0.9172008959604542,11 - 20 years,2 - 4 years,College degree,Industry,57000.0
13119,0,0.6919234829175356,11 - 20 years,11 - 20 years,College degree,Education,43000.0
13120,2,0.7482428361782653,5-7 years,5-7 years,College degree,Public & Government,45000.0
13121,1,0.643649751551196,11 - 20 years,11 - 20 years,High School,Banking & Insurance,40000.0
13122,0,1.6895805978218892,8 - 10 years,8 - 10 years,College degree,Health,105000.0
13123,2,1.2309801498416622,5-7 years,5-7 years,Master's degree,Non profit Organization,76500.0
13124,1,0.7080147267063155,11 - 20 years,11 - 20 years,Some college,Education,44000.0
13125,2,0.6841996858989212,8 - 10 years,5-7 years,College degree,Advertising,39520.0
13126,1,1.0839642119752237,11 - 20 years,11 - 20 years,Master's degree,Unidentified,41580.0
13127,0,0.7723797018614351,1 year or less,1 year or less,College degree,Technology & Science,48000.0
13128,4,1.287299503102392,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,80000.0
13129,3,1.1886400133475152,2 - 4 years,2 - 4 years,College degree,Law,45395.28
13130,1,1.3516644782575113,11 - 20 years,11 - 20 years,College degree,Health,84000.0
13131,3,0.755490208346368,2 - 4 years,1 year or less,High School,Other,28980.0
13132,2,4.5055482608583715,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,280000.0
13133,2,0.985422010886567,5-7 years,5-7 years,College degree,Advertising,37800.0
13134,0,1.1200221555174386,11 - 20 years,5-7 years,College degree,Construction,46764.05
13135,0,3.5400736335315774,11 - 20 years,11 - 20 years,College degree,Technology & Science,220000.0
13136,0,1.8022193043433485,8 - 10 years,8 - 10 years,College degree,Other,107000.0
13137,0,1.2068432841584924,8 - 10 years,8 - 10 years,Some college,Education,75000.0
13138,0,1.575332766921552,21 - 30 years,21 - 30 years,College degree,Culture,89000.0
13139,3,0.8469125214408233,2 - 4 years,2 - 4 years,College degree,Advertising,35550.0
13140,1,1.5282065942443301,1 year or less,1 year or less,Master's degree,Other,64148.0
13141,0,0.8850184083828944,11 - 20 years,11 - 20 years,College degree,Other,55000.0
13142,1,1.499752194845653,11 - 20 years,11 - 20 years,Master's degree,Social,93203.0
13143,0,1.1988258357838537,21 - 30 years,11 - 20 years,College degree,Public & Government,45486.0
13144,4,1.409592955897119,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,84000.0
13145,0,0.5631935326072964,11 - 20 years,11 - 20 years,College degree,Unidentified,35000.0
13146,1,1.3174194777968362,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,55300.0
13147,4,0.818883396411009,8 - 10 years,8 - 10 years,Master's degree,Banking & Insurance,49920.0
13148,2,1.0362760999974254,8 - 10 years,5-7 years,College degree,Banking & Insurance,61400.0
13149,0,3.18606627017842,8 - 10 years,5-7 years,College degree,Technology & Science,198000.0
13150,0,1.0378852243763035,21 - 30 years,8 - 10 years,College degree,Law,61000.0
13151,0,1.5286681599340903,8 - 10 years,8 - 10 years,College degree,Unidentified,90000.0
13152,0,3.8618985093071756,11 - 20 years,2 - 4 years,Master's degree,Technology & Science,200000.0
13153,0,2.824013284930872,21 - 30 years,21 - 30 years,College degree,Consulting,135000.0
13154,1,1.7539455729770088,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,107000.0
13155,0,1.0298396024819134,31 - 40 years,11 - 20 years,College degree,Public & Government,64000.0
13156,2,1.5758931364574862,5-7 years,5-7 years,College degree,Technology & Science,56700.0
13157,2,0.5792847763960763,5-7 years,1 year or less,College degree,Other,36000.0
13158,1,1.271208259313612,11 - 20 years,11 - 20 years,Master's degree,Education,79000.0
13159,1,0.9815658711155738,11 - 20 years,5-7 years,Master's degree,Education,58000.0
13160,4,1.733107412270539,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,107705.0
13161,1,1.3790195926984372,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,85700.0
13162,3,3.5400736335315774,2 - 4 years,2 - 4 years,College degree,Consulting,160000.0
13163,4,1.7129129013156201,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,98950.0
13164,0,1.3092035287492962,11 - 20 years,8 - 10 years,High School,Technology & Science,44100.0
13165,0,2.6113683288494025,11 - 20 years,11 - 20 years,College degree,Technology & Science,100170.0
13166,2,0.9172008959604542,5-7 years,5-7 years,College degree,Public & Government,53000.0
13167,0,2.220591642851626,21 - 30 years,5-7 years,College degree,Technology & Science,133000.0
13168,0,1.1776224509243378,21 - 30 years,11 - 20 years,College degree,Public & Government,49431.880000000005
13169,4,2.349321593161865,21 - 30 years,21 - 30 years,Master's degree,Advertising,135000.0
13170,2,0.6919234829175356,11 - 20 years,5-7 years,College degree,Education,43000.0
13171,2,0.5310110450297366,5-7 years,5-7 years,Master's degree,Education,33000.0
13172,1,2.2759455214850286,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,141440.0
13173,0,2.389549702633815,11 - 20 years,11 - 20 years,Some college,Technology & Science,118500.0
13174,2,3.330887464277439,5-7 years,2 - 4 years,PhD,Consulting,177000.0
13175,1,2.494142787260884,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,135000.0
13176,4,3.2826137329110994,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,179000.0
13177,3,0.9815658711155738,21 - 30 years,2 - 4 years,Some college,Retail,61000.0
13178,2,2.7516026878813626,5-7 years,5-7 years,College degree,Technology & Science,171000.0
13179,3,0.6876052188552189,2 - 4 years,2 - 4 years,Master's degree,Social,25440.0
13180,0,1.5125769161453104,8 - 10 years,8 - 10 years,College degree,Advertising,86000.0
13181,0,0.7401972142838753,8 - 10 years,8 - 10 years,College degree,Non profit Organization,46000.0
13182,0,1.7700368167657887,11 - 20 years,2 - 4 years,College degree,Technology & Science,110000.0
13183,4,1.3758013439406813,8 - 10 years,8 - 10 years,Master's degree,Law,77500.0
13184,1,0.9011096521716743,11 - 20 years,2 - 4 years,Master's degree,Culture,48000.0
13185,2,1.9542011019283747,5-7 years,2 - 4 years,College degree,Consulting,113500.0
13186,3,2.3005973069694394,2 - 4 years,2 - 4 years,PhD,Health,116358.0
13187,0,1.0298396024819134,11 - 20 years,5-7 years,College degree,Unidentified,60000.0
13188,0,3.4049876419247704,11 - 20 years,8 - 10 years,College degree,Technology & Science,172700.0
13189,1,1.8456656625730543,11 - 20 years,11 - 20 years,Master's degree,Unidentified,114700.0
13190,2,0.5937668958059782,5-7 years,5-7 years,Some college,Other,36400.0
13191,2,1.3516644782575113,5-7 years,2 - 4 years,College degree,Consulting,84000.0
13192,0,0.8367446770165546,11 - 20 years,8 - 10 years,College degree,Education,52000.0
13193,0,1.3174194777968362,8 - 10 years,8 - 10 years,College degree,Consulting,55300.0
13194,1,0.5277927962719806,11 - 20 years,11 - 20 years,Master's degree,Education,32800.0
13195,2,1.8067467124070897,8 - 10 years,5-7 years,College degree,Public & Government,75840.0
13196,2,1.3677557220462913,5-7 years,5-7 years,College degree,Non profit Organization,85000.0
13197,1,0.7723797018614351,21 - 30 years,11 - 20 years,College degree,Health,48000.0
13198,1,1.0700677119538633,11 - 20 years,11 - 20 years,Master's degree,Education,66500.0
13199,4,2.2785201204912338,21 - 30 years,21 - 30 years,Some college,Technology & Science,118000.0
13200,2,1.3550600343053174,5-7 years,2 - 4 years,College degree,Human Ressources,56880.0
13201,0,1.3194819906799515,11 - 20 years,2 - 4 years,College degree,Technology & Science,82000.0
13202,1,0.9976571149043537,31 - 40 years,11 - 20 years,High School,Construction,52000.0
13203,2,7.241059704950954,5-7 years,5-7 years,Master's degree,Technology & Science,210000.0
13204,0,2.3178632115548004,31 - 40 years,21 - 30 years,College degree,Industry,140845.0
13205,0,2.365412836950645,11 - 20 years,11 - 20 years,College degree,Industry,137000.0
13206,2,0.8850184083828944,5-7 years,5-7 years,Master's degree,Agriculture & Food,55000.0
13207,1,2.7355114440925825,11 - 20 years,11 - 20 years,College degree,Health,160000.0
13208,4,2.4458690558945446,21 - 30 years,21 - 30 years,Master's degree,Education,152000.0
13209,2,3.8739076935911076,5-7 years,5-7 years,Master's degree,Consulting,138600.0
13210,1,0.6806596122653897,8 - 10 years,11 - 20 years,Master's degree,Health,42300.0
13211,2,0.9654746273267939,5-7 years,5-7 years,College degree,Unidentified,60000.0
13212,0,2.574599006204784,21 - 30 years,21 - 30 years,College degree,Technology & Science,160000.0
13213,1,1.5608506475116501,8 - 10 years,8 - 10 years,Master's degree,Health,97000.0
13214,4,0.7144512242218275,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,43000.0
13215,1,1.0459308462706933,8 - 10 years,8 - 10 years,Master's degree,Health,65000.0
13216,0,0.8850184083828944,11 - 20 years,2 - 4 years,College degree,Non profit Organization,55000.0
13217,0,0.7492244020493808,11 - 20 years,5-7 years,College degree,Non profit Organization,46561.0
13218,1,0.8850184083828944,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,55000.0
13219,2,1.737854329188229,5-7 years,2 - 4 years,College degree,Banking & Insurance,101500.0
13220,3,0.8850184083828944,5-7 years,2 - 4 years,Some college,Technology & Science,50000.0
13221,1,2.7355114440925825,11 - 20 years,11 - 20 years,College degree,Health,160000.0
13222,0,2.5585077624160038,8 - 10 years,5-7 years,College degree,Technology & Science,130000.0
13223,2,1.0781133338482531,5-7 years,5-7 years,College degree,Advertising,67000.0
13224,3,2.992971344713061,5-7 years,2 - 4 years,Master's degree,Technology & Science,113000.0
13225,0,2.2527741304291857,21 - 30 years,11 - 20 years,College degree,Technology & Science,120000.0
13226,2,2.0114054735974873,5-7 years,5-7 years,College degree,Technology & Science,125000.0
13227,2,1.3677557220462913,5-7 years,5-7 years,Master's degree,Public & Government,85000.0
13228,0,1.8123947811447811,8 - 10 years,8 - 10 years,College degree,Consulting,68900.0
13229,2,2.2978296130377696,8 - 10 years,5-7 years,College degree,Consulting,142800.0
13230,1,1.094204577637033,11 - 20 years,2 - 4 years,Master's degree,Health,68000.0
13231,1,2.5585077624160038,11 - 20 years,11 - 20 years,College degree,Health,132000.0
13232,0,2.494142787260884,8 - 10 years,8 - 10 years,College degree,Non profit Organization,155000.0
13233,2,0.6758322391287557,5-7 years,5-7 years,Master's degree,Education,42000.0
13234,2,1.2229345279472723,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Education,66000.0
13235,3,0.8850184083828944,2 - 4 years,2 - 4 years,College degree,Law,55000.0
13236,3,1.1666151746865425,8 - 10 years,8 - 10 years,Master's degree,Public & Government,72500.0
13237,1,2.6374376942167723,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,100170.0
13238,0,2.413686568316985,11 - 20 years,11 - 20 years,College degree,Technology & Science,130000.0
13239,3,1.9470404984423677,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,107000.0
13240,2,0.7241059704950954,8 - 10 years,5-7 years,PhD,Education,45000.0
13241,0,0.8702144640972169,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,54080.0
13242,4,2.7355114440925825,21 - 30 years,21 - 30 years,Master's degree,Advertising,150000.0
13243,0,0.38618985093071756,8 - 10 years,8 - 10 years,College degree,Education,24000.0
13244,0,0.7335203449590242,11 - 20 years,8 - 10 years,College degree,Non profit Organization,30790.25
13245,4,0.2976880100924281,8 - 10 years,8 - 10 years,Master's degree,Education,18500.0
13246,2,1.3176636801318196,5-7 years,2 - 4 years,College degree,Banking & Insurance,64700.0
13247,4,1.3174194777968362,21 - 30 years,5-7 years,Master's degree,Banking & Insurance,55300.0
13248,2,0.9172008959604542,5-7 years,5-7 years,Master's degree,Education,57000.0
13249,0,2.955961483998867,11 - 20 years,8 - 10 years,College degree,Technology & Science,167000.0
13250,4,1.287299503102392,21 - 30 years,21 - 30 years,College degree,Industry,80000.0
13251,0,2.0122100357869264,8 - 10 years,8 - 10 years,College degree,Retail,102500.0
13252,2,1.7457275614942378,5-7 years,5-7 years,PhD,Banking & Insurance,74200.0
13253,0,1.7700368167657887,11 - 20 years,11 - 20 years,College degree,Non profit Organization,110000.0
13254,4,1.2148889060528822,21 - 30 years,21 - 30 years,High School,Culture,68000.0
13255,0,0.5471022888185165,2 - 4 years,1 year or less,College degree,Human Ressources,34000.0
13256,3,0.31511482711567673,2 - 4 years,2 - 4 years,College degree,Consulting,19583.0
13257,2,2.212546020957236,5-7 years,5-7 years,College degree,Banking & Insurance,125000.0
13258,3,0.8585000386189852,2 - 4 years,2 - 4 years,Master's degree,Public & Government,53352.0
13259,2,1.0684585875749852,5-7 years,5-7 years,College degree,Technology & Science,64000.0
13260,1,1.094204577637033,11 - 20 years,5-7 years,Master's degree,Education,68000.0
13261,2,0.8286990551221648,5-7 years,5-7 years,College degree,Retail,42500.0
13262,3,1.0620220900594732,2 - 4 years,2 - 4 years,Master's degree,Industry,65000.0
13263,4,3.765351046574496,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Law,174000.0
13264,0,1.1424783090033728,11 - 20 years,11 - 20 years,College degree,Public & Government,71000.0
13265,0,0.9654746273267939,8 - 10 years,8 - 10 years,College degree,Education,60000.0
13266,2,0.6476725624983909,5-7 years,1 year or less,College degree,Law,40000.0
13267,2,2.3010478617955252,5-7 years,5-7 years,College degree,Technology & Science,130000.0
13268,0,1.127255992379187,11 - 20 years,8 - 10 years,College degree,Health,70054.0
13269,0,3.1597768118622644,8 - 10 years,2 - 4 years,College degree,Industry,38000.0
13270,0,1.116732318941325,8 - 10 years,8 - 10 years,College degree,Culture,68900.0
13271,0,1.9631317422311476,41 years or more,41 years or more,College degree,Technology & Science,110000.0
13272,0,0.9332921397492341,11 - 20 years,8 - 10 years,Master's degree,Education,58000.0
13273,3,2.247593863159901,8 - 10 years,2 - 4 years,Master's degree,Technology & Science,83345.0
13274,4,2.3975953245282047,21 - 30 years,21 - 30 years,Master's degree,Education,149000.0
13275,2,0.6243402590046601,8 - 10 years,5-7 years,College degree,Education,38800.0
13276,0,1.4482119409901908,21 - 30 years,21 - 30 years,College degree,Technology & Science,90000.0
13277,4,2.7033289565150227,8 - 10 years,5-7 years,Master's degree,Technology & Science,130000.0
13278,0,3.13779253881208,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,180000.0
13279,3,1.2201939203354297,21 - 30 years,21 - 30 years,Some college,Public & Government,51218.86
13280,1,2.0114054735974873,11 - 20 years,11 - 20 years,Master's degree,Public & Government,125000.0
13281,1,2.655055225148683,5-7 years,5-7 years,Master's degree,Health,150000.0
13282,0,1.5286681599340903,21 - 30 years,21 - 30 years,College degree,Agriculture & Food,95000.0
13283,0,0.749208310805592,11 - 20 years,2 - 4 years,College degree,Culture,45760.0
13284,0,2.0918616925413867,31 - 40 years,21 - 30 years,Some college,Technology & Science,123000.0
13285,0,1.5787441106047733,8 - 10 years,8 - 10 years,College degree,Other,91112.0
13286,0,1.5399320305862363,11 - 20 years,2 - 4 years,College degree,Industry,87000.0
13287,2,1.6413068664555497,5-7 years,2 - 4 years,PhD,Education,102000.0
13288,0,1.8504930357096883,21 - 30 years,21 - 30 years,College degree,Technology & Science,104000.0
13289,2,1.0620220900594732,2 - 4 years,5-7 years,College degree,Other,60000.0
13290,0,4.296362091604233,21 - 30 years,21 - 30 years,College degree,Technology & Science,187000.0
13291,0,1.6413068664555497,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,94000.0
13292,0,1.3355732344687314,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,83000.0
13293,0,2.3525347817800646,11 - 20 years,11 - 20 years,College degree,Technology & Science,98750.0
13294,0,0.743141911897222,11 - 20 years,5-7 years,Master's degree,Technology & Science,46183.0
13295,2,0.6758322391287557,2 - 4 years,2 - 4 years,College degree,Education,42000.0
13296,0,1.3550600343053174,11 - 20 years,11 - 20 years,College degree,Culture,56880.0
13297,0,1.292770525990577,1 year or less,1 year or less,College degree,Banking & Insurance,78000.0
13298,0,1.4562575628845809,1 year or less,1 year or less,College degree,Health,82500.0
13299,0,1.0781133338482531,11 - 20 years,5-7 years,College degree,Non profit Organization,67000.0
13300,0,2.357367215056255,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,138000.0
13301,2,2.401431770535544,8 - 10 years,5-7 years,College degree,Retail,78802.5
13302,3,1.572919080353235,2 - 4 years,2 - 4 years,College degree,Advertising,85000.0
13303,0,1.4482119409901908,8 - 10 years,8 - 10 years,PhD,Industry,90000.0
13304,2,2.823041738136078,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,118500.0
13305,2,0.7241059704950954,11 - 20 years,5-7 years,College degree,Banking & Insurance,45000.0
13306,0,1.6799258515486213,8 - 10 years,11 - 20 years,College degree,Technology & Science,72000.0
13307,0,1.9470404984423677,2 - 4 years,2 - 4 years,College degree,Technology & Science,110000.0
13308,2,0.2677582966452975,5-7 years,1 year or less,College degree,Human Ressources,16640.0
13309,3,2.8964238819803816,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,150000.0
13310,1,0.9287865914883757,11 - 20 years,11 - 20 years,Some college,Industry,39000.0
13311,4,1.1424783090033728,8 - 10 years,8 - 10 years,Master's degree,Education,62000.0
13312,2,1.1344326871089827,8 - 10 years,5-7 years,Master's degree,Education,70500.0
13313,0,4.988285574521768,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,250000.0
13314,1,1.0298396024819134,11 - 20 years,11 - 20 years,Master's degree,Education,64000.0
13315,1,0.0,11 - 20 years,8 - 10 years,Master's degree,Health,65296.0
13316,0,0.9371540382585413,2 - 4 years,2 - 4 years,College degree,Technology & Science,58240.0
13317,0,2.075770448752607,11 - 20 years,8 - 10 years,College degree,Technology & Science,126000.0
13318,1,1.721763085399449,21 - 30 years,11 - 20 years,PhD,Education,107000.0
13319,2,0.7241059704950954,21 - 30 years,11 - 20 years,College degree,Social,45000.0
13320,2,1.705671841610669,8 - 10 years,5-7 years,College degree,Banking & Insurance,106000.0
13321,3,1.0861589557426432,2 - 4 years,2 - 4 years,College degree,Public & Government,67500.0
13322,2,0.9815658711155738,5-7 years,5-7 years,College degree,Advertising,51000.0
13323,3,0.7080147267063155,2 - 4 years,2 - 4 years,Master's degree,Education,44000.0
13324,2,1.7288450543167524,8 - 10 years,5-7 years,College degree,Culture,65570.0
13325,3,1.8352833218628126,2 - 4 years,2 - 4 years,Master's degree,Human Ressources,50400.0
13326,0,1.3355732344687314,11 - 20 years,8 - 10 years,College degree,Non profit Organization,83000.0
