,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
15816,1,8 - 10 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed
15817,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,very well payed
15818,1,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
15819,2,8 - 10 years,8 - 10 years,College degree,Man,Banking & Insurance,well payed
15820,2,11 - 20 years,11 - 20 years,College degree,Man,Industry,very well payed
15821,0,5-7 years,5-7 years,Master's degree,Woman,Advertising,well payed
15823,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
15824,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Advertising,very well payed
15825,1,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
15826,1,11 - 20 years,11 - 20 years,PhD,Man,Non profit Organization,bad payed
15827,1,21 - 30 years,11 - 20 years,Some college,Woman,Industry,bad payed
15830,0,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed
15831,2,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed
15832,2,21 - 30 years,5-7 years,College degree,Man,Unidentified,very well payed
15834,1,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
15835,1,11 - 20 years,2 - 4 years,College degree,Woman,Law,bad payed
15836,2,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,very well payed
15837,2,5-7 years,5-7 years,College degree,Man,Banking & Insurance,well payed
15838,2,5-7 years,5-7 years,College degree,Man,Law,well payed
15839,1,5-7 years,5-7 years,College degree,Man,Other,bad payed
15840,0,11 - 20 years,8 - 10 years,Master's degree,Man,Advertising,well payed
15841,2,31 - 40 years,21 - 30 years,College degree,Man,Technology & Science,well payed
15842,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed
15843,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
15844,1,11 - 20 years,11 - 20 years,College degree,Man,Culture,bad payed
15845,0,11 - 20 years,11 - 20 years,High School,Man,Banking & Insurance,well payed
15846,0,5-7 years,2 - 4 years,High School,Man,Health,well payed
15847,2,1 year or less,1 year or less,College degree,Man,Industry,well payed
15848,0,5-7 years,2 - 4 years,Master's degree,Non-binary,Education,bad payed
15849,3,11 - 20 years,8 - 10 years,College degree,Woman,Industry,well payed
15850,3,21 - 30 years,11 - 20 years,College degree,Woman,Unidentified,well payed
15851,1,5-7 years,5-7 years,College degree,Woman,Culture,bad payed
15852,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
15853,4,8 - 10 years,5-7 years,Some college,Woman,Technology & Science,very well payed
15854,1,11 - 20 years,8 - 10 years,College degree,Non-binary,Health,bad payed
15855,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Advertising,very well payed
15856,2,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,very well payed
15857,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
15858,0,11 - 20 years,5-7 years,Master's degree,Woman,Industry,well payed
15859,1,21 - 30 years,2 - 4 years,Some college,Woman,Industry,bad payed
15860,2,11 - 20 years,5-7 years,College degree,Man,Technology & Science,well payed
15861,2,11 - 20 years,5-7 years,College degree,Man,Industry,well payed
15863,1,41 years or more,21 - 30 years,Some college,Woman,Non profit Organization,bad payed
15864,2,21 - 30 years,5-7 years,Some college,Man,Culture,very well payed
15865,0,11 - 20 years,2 - 4 years,Master's degree,Man,Technology & Science,well payed
15866,0,8 - 10 years,5-7 years,Master's degree,Woman,Culture,well payed
15867,0,11 - 20 years,8 - 10 years,Master's degree,Man,Public & Government,well payed
15868,2,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
15869,3,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,well payed
15870,2,11 - 20 years,8 - 10 years,College degree,Man,Industry,well payed
15871,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed
15873,0,21 - 30 years,21 - 30 years,Master's degree,Man,Unidentified,well payed
15875,2,8 - 10 years,8 - 10 years,College degree,Man,Consulting,very well payed
15876,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
15877,1,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed
15879,2,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,very well payed
15880,2,21 - 30 years,11 - 20 years,Some college,Man,Technology & Science,very well payed
15881,2,5-7 years,5-7 years,College degree,Man,Advertising,well payed
15882,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
15883,4,11 - 20 years,11 - 20 years,PhD,Woman,Health,very well payed
15884,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed
15885,1,5-7 years,5-7 years,College degree,Man,Non profit Organization,bad payed
15886,1,11 - 20 years,5-7 years,Some college,Woman,Non profit Organization,bad payed
15887,4,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed
15888,1,5-7 years,2 - 4 years,High School,Man,Unidentified,bad payed
15889,0,31 - 40 years,11 - 20 years,Master's degree,Man,Education,well payed
15890,2,21 - 30 years,21 - 30 years,Master's degree,Man,Banking & Insurance,very well payed
15891,2,11 - 20 years,8 - 10 years,College degree,Man,Banking & Insurance,well payed
15892,2,21 - 30 years,2 - 4 years,High School,Man,Technology & Science,bad payed
15893,0,21 - 30 years,21 - 30 years,Some college,Man,Public & Government,well payed
15894,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
15896,2,11 - 20 years,11 - 20 years,College degree,Man,Public & Government,well payed
15897,2,11 - 20 years,5-7 years,College degree,Man,Technology & Science,well payed
15898,2,31 - 40 years,31 - 40 years,Master's degree,Man,Banking & Insurance,very well payed
15899,2,5-7 years,1 year or less,College degree,Man,Unidentified,well payed
15900,2,31 - 40 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
15901,2,8 - 10 years,5-7 years,PhD,Man,Technology & Science,well payed
15902,2,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
15905,1,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
15906,2,5-7 years,2 - 4 years,PhD,Man,Technology & Science,very well payed
15908,3,21 - 30 years,11 - 20 years,College degree,Woman,Law,well payed
15909,2,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
15910,1,2 - 4 years,2 - 4 years,College degree,Non-binary,Other,bad payed
15911,4,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
15912,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
15913,2,5-7 years,2 - 4 years,College degree,Man,Technology & Science,very well payed
15914,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
15915,2,8 - 10 years,5-7 years,Master's degree,Man,Technology & Science,very well payed
15916,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Prefer not to answer,Banking & Insurance,well payed
15917,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
15918,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Technology & Science,well payed
15919,0,11 - 20 years,11 - 20 years,Master's degree,Man,Non profit Organization,well payed
15920,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,well payed
15921,1,8 - 10 years,5-7 years,College degree,Man,Education,bad payed
15922,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Advertising,well payed
15924,2,11 - 20 years,8 - 10 years,Some college,Man,Technology & Science,well payed
15925,0,5-7 years,2 - 4 years,High School,Non-binary,Other,very bad payed 
15926,2,11 - 20 years,2 - 4 years,Master's degree,Man,Non profit Organization,very well payed
15927,2,11 - 20 years,8 - 10 years,College degree,Man,Consulting,very well payed
15928,1,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Unidentified,bad payed
15929,2,8 - 10 years,8 - 10 years,College degree,Man,Other,well payed
15930,1,5-7 years,5-7 years,PhD,Woman,Industry,bad payed
15931,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed
15932,2,11 - 20 years,5-7 years,College degree,Man,Technology & Science,very well payed
15933,2,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
15934,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
15935,2,11 - 20 years,8 - 10 years,High School,Man,Technology & Science,very well payed
15936,2,11 - 20 years,8 - 10 years,College degree,Man,Industry,well payed
15937,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
15938,2,11 - 20 years,11 - 20 years,PhD,Man,Public & Government,very well payed
15939,2,5-7 years,5-7 years,PhD,Man,Industry,very well payed
15940,2,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed
15941,0,5-7 years,5-7 years,Master's degree,Non-binary,Other,bad payed
15942,1,11 - 20 years,8 - 10 years,Some college,Woman,Public & Government,bad payed
15943,2,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
15944,1,2 - 4 years,2 - 4 years,College degree,Woman,Law,bad payed
15945,2,8 - 10 years,1 year or less,College degree,Man,Technology & Science,well payed
15946,1,8 - 10 years,1 year or less,College degree,Woman,Non profit Organization,bad payed
15947,0,11 - 20 years,11 - 20 years,High School,Woman,Education,bad payed
15948,0,5-7 years,8 - 10 years,High School,Man,Unidentified,well payed
15949,0,5-7 years,5-7 years,Master's degree,Man,Culture,well payed
15950,2,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
15951,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Law,very well payed
15953,1,11 - 20 years,11 - 20 years,PhD,Man,Non profit Organization,bad payed
15954,0,2 - 4 years,5-7 years,PhD,Man,Education,well payed
15955,2,8 - 10 years,2 - 4 years,Master's degree,Man,Technology & Science,bad payed
15957,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,bad payed
15958,0,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
15959,2,21 - 30 years,21 - 30 years,Some college,Man,Technology & Science,very well payed
15960,4,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
15961,0,8 - 10 years,8 - 10 years,Master's degree,Man,Unidentified,well payed
15962,1,2 - 4 years,2 - 4 years,College degree,Man,Advertising,bad payed
15963,4,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,very well payed
15964,4,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
15965,1,5-7 years,5-7 years,High School,Man,Public & Government,bad payed
15966,0,8 - 10 years,5-7 years,Master's degree,Woman,Law,well payed
15967,2,11 - 20 years,11 - 20 years,College degree,Man,Culture,well payed
15968,1,8 - 10 years,1 year or less,PhD,Woman,Culture,bad payed
15969,2,5-7 years,5-7 years,College degree,Man,Technology & Science,bad payed
15970,0,11 - 20 years,8 - 10 years,Master's degree,Man,Education,well payed
15971,1,2 - 4 years,2 - 4 years,College degree,Woman,Law,bad payed
15972,0,8 - 10 years,8 - 10 years,Master's degree,Man,Industry,well payed
15973,0,31 - 40 years,11 - 20 years,Master's degree,Woman,Industry,bad payed
15975,2,21 - 30 years,21 - 30 years,College degree,Man,Culture,very well payed
15976,0,21 - 30 years,21 - 30 years,College degree,Man,Education,well payed
15977,0,8 - 10 years,2 - 4 years,Master's degree,Man,Industry,well payed
15978,2,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
15979,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
15980,3,5-7 years,5-7 years,College degree,Woman,Culture,well payed
15981,1,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,bad payed
15982,1,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
15983,0,5-7 years,5-7 years,Master's degree,Woman,Unidentified,well payed
15984,2,5-7 years,5-7 years,Master's degree,Man,Technology & Science,very well payed
15986,0,11 - 20 years,11 - 20 years,Master's degree,Man,Non profit Organization,well payed
15988,1,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
15989,3,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,well payed
15990,2,5-7 years,5-7 years,College degree,Man,Technology & Science,very well payed
15991,2,11 - 20 years,8 - 10 years,College degree,Man,Health,well payed
15992,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,very well payed
15993,1,5-7 years,5-7 years,College degree,Woman,Culture,very bad payed 
15994,4,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,very well payed
15995,0,5-7 years,5-7 years,Master's degree,Woman,Culture,well payed
15996,1,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
15997,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,very well payed
15999,4,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,very well payed
16000,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
16001,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
16002,2,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,well payed
16003,3,11 - 20 years,5-7 years,Some college,Woman,Technology & Science,well payed
16004,2,21 - 30 years,5-7 years,Master's degree,Man,Culture,very well payed
16005,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
16006,2,8 - 10 years,8 - 10 years,Some college,Man,Technology & Science,very well payed
16007,2,5-7 years,5-7 years,College degree,Man,Technology & Science,bad payed
16008,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed
16009,2,5-7 years,5-7 years,Master's degree,Man,Technology & Science,bad payed
16010,2,11 - 20 years,11 - 20 years,College degree,Man,Advertising,well payed
16011,2,5-7 years,5-7 years,PhD,Man,Technology & Science,well payed
16012,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
16013,2,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,very well payed
16014,2,11 - 20 years,11 - 20 years,College degree,Man,Advertising,very well payed
16015,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
16016,2,2 - 4 years,2 - 4 years,Some college,Man,Technology & Science,well payed
16017,2,21 - 30 years,11 - 20 years,Some college,Man,Banking & Insurance,very well payed
16018,3,31 - 40 years,21 - 30 years,College degree,Woman,Health,well payed
16019,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
16020,1,2 - 4 years,1 year or less,Some college,Woman,Public & Government,bad payed
16022,2,8 - 10 years,2 - 4 years,PhD,Man,Industry,very well payed
16023,1,8 - 10 years,2 - 4 years,College degree,Man,Banking & Insurance,bad payed
16024,0,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed
16025,1,11 - 20 years,11 - 20 years,College degree,Man,Non profit Organization,bad payed
16027,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
16028,1,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,bad payed
16029,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed
16030,0,11 - 20 years,11 - 20 years,PhD,Woman,Education,bad payed
16031,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed
16032,3,8 - 10 years,5-7 years,College degree,Woman,Unidentified,well payed
16033,2,5-7 years,2 - 4 years,PhD,Man,Technology & Science,very well payed
16034,2,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,well payed
16035,2,5-7 years,2 - 4 years,College degree,Man,Technology & Science,very well payed
16036,2,8 - 10 years,2 - 4 years,College degree,Man,Technology & Science,well payed
16037,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Advertising,well payed
16038,1,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,bad payed
16039,2,11 - 20 years,11 - 20 years,College degree,Man,Industry,well payed
16040,0,5-7 years,2 - 4 years,Some college,Woman,Culture,very bad payed 
16041,1,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
16042,2,21 - 30 years,11 - 20 years,College degree,Man,Culture,well payed
16043,0,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed
16044,2,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,very well payed
16045,2,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,well payed
16046,2,11 - 20 years,8 - 10 years,Master's degree,Man,Technology & Science,very well payed
16047,3,8 - 10 years,8 - 10 years,College degree,Woman,Culture,well payed
16049,0,11 - 20 years,5-7 years,High School,Woman,Other,well payed
16050,3,5-7 years,5-7 years,College degree,Woman,Culture,well payed
16051,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
16052,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
16053,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
16054,3,2 - 4 years,2 - 4 years,Some college,Woman,Technology & Science,well payed
16055,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
16057,2,21 - 30 years,21 - 30 years,PhD,Man,Health,very well payed
16058,0,11 - 20 years,8 - 10 years,Master's degree,Man,Consulting,well payed
16059,2,31 - 40 years,21 - 30 years,College degree,Man,Industry,very well payed
16060,0,5-7 years,5-7 years,Master's degree,Woman,Education,well payed
16061,2,8 - 10 years,2 - 4 years,College degree,Man,Public & Government,well payed
16062,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
16063,4,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
16064,0,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,well payed
16065,2,31 - 40 years,31 - 40 years,College degree,Man,Other,well payed
16066,0,21 - 30 years,2 - 4 years,Some college,Man,Education,well payed
16067,3,11 - 20 years,5-7 years,College degree,Woman,Consulting,well payed
16068,2,11 - 20 years,8 - 10 years,College degree,Man,Advertising,very well payed
16069,0,5-7 years,2 - 4 years,High School,Man,Non profit Organization,well payed
16070,4,11 - 20 years,11 - 20 years,College degree,Woman,Consulting,very well payed
16071,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
16072,0,8 - 10 years,2 - 4 years,Master's degree,Man,Education,bad payed
16073,0,2 - 4 years,5-7 years,Master's degree,Woman,Culture,bad payed
16074,2,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
16075,4,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Health,very well payed
16076,2,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,very well payed
16077,1,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,bad payed
16078,2,8 - 10 years,5-7 years,High School,Man,Technology & Science,bad payed
16080,3,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
16081,0,5-7 years,5-7 years,Master's degree,Woman,Education,well payed
16082,3,2 - 4 years,2 - 4 years,College degree,Woman,Health,well payed
16083,0,2 - 4 years,2 - 4 years,Master's degree,Man,Banking & Insurance,bad payed
16084,2,21 - 30 years,2 - 4 years,College degree,Man,Culture,very well payed
16085,0,5-7 years,5-7 years,Master's degree,Woman,Advertising,very well payed
16086,2,21 - 30 years,2 - 4 years,College degree,Man,Banking & Insurance,very well payed
16088,0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,well payed
16089,2,8 - 10 years,5-7 years,Master's degree,Man,Technology & Science,very well payed
16090,0,21 - 30 years,21 - 30 years,Some college,Man,Advertising,well payed
16091,2,2 - 4 years,1 year or less,College degree,Non-binary,Culture,very well payed
16092,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed
16093,1,8 - 10 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed
16094,1,21 - 30 years,21 - 30 years,College degree,Woman,Culture,bad payed
16095,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
16096,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
16097,1,11 - 20 years,8 - 10 years,College degree,Non-binary,Other,bad payed
16098,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed
16099,4,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,very well payed
16100,2,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Law,very well payed
16101,2,11 - 20 years,11 - 20 years,College degree,Man,Consulting,well payed
16102,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
16103,0,5-7 years,5-7 years,Master's degree,Woman,Law,very well payed
16104,2,31 - 40 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
16105,2,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,very well payed
16107,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,well payed
16108,2,11 - 20 years,11 - 20 years,College degree,Man,Public & Government,well payed
16109,4,5-7 years,5-7 years,College degree,Woman,Advertising,very well payed
16110,0,8 - 10 years,8 - 10 years,Master's degree,Man,Banking & Insurance,well payed
16111,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,well payed
16112,2,8 - 10 years,5-7 years,PhD,Man,Technology & Science,well payed
16113,2,21 - 30 years,21 - 30 years,Some college,Man,Technology & Science,well payed
16114,0,31 - 40 years,21 - 30 years,Some college,Man,Public & Government,well payed
16115,0,11 - 20 years,8 - 10 years,College degree,Man,Education,well payed
16116,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
16117,0,31 - 40 years,11 - 20 years,High School,Man,Non profit Organization,well payed
16118,2,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,very well payed
16119,1,5-7 years,2 - 4 years,College degree,Woman,Culture,bad payed
16120,1,5-7 years,2 - 4 years,College degree,Man,Advertising,bad payed
16121,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,bad payed
16122,2,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Man,Law,very well payed
16123,2,21 - 30 years,21 - 30 years,Master's degree,Man,Banking & Insurance,very well payed
16124,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
16125,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
16126,1,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed
16127,2,8 - 10 years,5-7 years,Master's degree,Man,Consulting,very well payed
16128,2,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,well payed
16129,2,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,very well payed
16130,0,21 - 30 years,8 - 10 years,Some college,Man,Other,well payed
16131,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
16132,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,very well payed
16133,0,21 - 30 years,21 - 30 years,Some college,Woman,Education,bad payed
16134,3,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,well payed
16135,2,11 - 20 years,8 - 10 years,College degree,Man,Advertising,well payed
16136,1,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,well payed
16137,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Consulting,well payed
16138,0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Law,well payed
16139,0,11 - 20 years,5-7 years,Master's degree,Woman,Consulting,bad payed
16140,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,well payed
16141,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Consulting,well payed
16142,2,21 - 30 years,21 - 30 years,Some college,Man,Technology & Science,very well payed
16143,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
16144,0,1 year or less,1 year or less,Master's degree,Woman,Other,bad payed
16145,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
16146,0,5-7 years,5-7 years,College degree,Man,Education,well payed
16147,0,5-7 years,5-7 years,Master's degree,Woman,Advertising,well payed
16148,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,well payed
16149,0,21 - 30 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,bad payed
16150,0,11 - 20 years,2 - 4 years,High School,Man,Other,well payed
16151,2,21 - 30 years,21 - 30 years,High School,Man,Technology & Science,very well payed
16152,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed
16153,2,11 - 20 years,11 - 20 years,College degree,Man,Advertising,very well payed
16154,2,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Law,very well payed
16155,0,2 - 4 years,2 - 4 years,Master's degree,Man,Education,bad payed
16156,2,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed
16157,0,5-7 years,2 - 4 years,Master's degree,Non-binary,Technology & Science,well payed
16158,3,5-7 years,2 - 4 years,College degree,Prefer not to answer,Health,well payed
16159,1,11 - 20 years,11 - 20 years,PhD,Woman,Non profit Organization,bad payed
16160,0,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
16161,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
16162,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
16163,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
16165,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
16166,1,11 - 20 years,8 - 10 years,College degree,Man,Unidentified,bad payed
16167,4,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,very well payed
16168,2,11 - 20 years,11 - 20 years,PhD,Man,Other,very well payed
16169,0,11 - 20 years,11 - 20 years,PhD,Man,Education,well payed
16170,0,11 - 20 years,5-7 years,Master's degree,Man,Public & Government,well payed
16171,2,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
16172,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Unidentified,very well payed
16173,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Advertising,bad payed
16174,2,21 - 30 years,21 - 30 years,College degree,Man,Culture,well payed
16175,1,8 - 10 years,8 - 10 years,College degree,Woman,Health,bad payed
16176,2,5-7 years,2 - 4 years,College degree,Man,Advertising,well payed
16177,3,1 year or less,1 year or less,College degree,Woman,Unidentified,well payed
16178,2,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,very well payed
16179,0,8 - 10 years,5-7 years,Master's degree,Woman,Advertising,well payed
16180,3,8 - 10 years,5-7 years,College degree,Woman,Culture,well payed
16181,0,5-7 years,5-7 years,Master's degree,Woman,Other,well payed
16182,1,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
16183,1,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
16184,4,8 - 10 years,5-7 years,College degree,Woman,Health,very well payed
16185,0,2 - 4 years,2 - 4 years,Master's degree,Man,Education,very bad payed 
16186,2,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,well payed
16187,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Prefer not to answer,Law,well payed
16188,1,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,bad payed
16189,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
16190,4,8 - 10 years,8 - 10 years,College degree,Woman,Industry,very well payed
16191,2,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
16192,0,8 - 10 years,8 - 10 years,College degree,Man,Education,well payed
16193,1,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed
16194,3,8 - 10 years,5-7 years,College degree,Non-binary,Unidentified,well payed
16195,2,31 - 40 years,31 - 40 years,Master's degree,Man,Technology & Science,very well payed
16196,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
16197,2,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
16198,4,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
16199,2,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,very well payed
16200,2,21 - 30 years,21 - 30 years,College degree,Man,Public & Government,very well payed
