,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,payed
16902,3,8 - 10 years,5-7 years,College degree,Banking & Insurance,well payed
16903,1,11 - 20 years,11 - 20 years,High School,Industry,bad payed
16904,0,1 year or less,1 year or less,High School,Retail,very bad payed 
16905,4,1 year or less,1 year or less,College degree,Banking & Insurance,bad payed
16906,4,2 - 4 years,1 year or less,Master's degree,Culture,bad payed
16907,2,5-7 years,2 - 4 years,PhD,Technology & Science,very well payed
16908,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
16909,0,21 - 30 years,5-7 years,Master's degree,Education,bad payed
16910,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
16911,0,5-7 years,5-7 years,College degree,Non profit Organization,bad payed
16912,0,8 - 10 years,5-7 years,College degree,Education,well payed
16913,0,5-7 years,2 - 4 years,Master's degree,Other,well payed
16914,4,2 - 4 years,2 - 4 years,College degree,Industry,well payed
16915,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very bad payed 
16916,2,31 - 40 years,21 - 30 years,Master's degree,Technology & Science,very well payed
16917,1,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,well payed
16918,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
16919,1,11 - 20 years,11 - 20 years,College degree,Other,bad payed
16920,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,very well payed
16921,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,bad payed
16922,0,5-7 years,1 year or less,Some college,Retail,bad payed
16923,1,1 year or less,1 year or less,College degree,Banking & Insurance,well payed
16924,1,1 year or less,1 year or less,College degree,Public & Government,well payed
16925,3,8 - 10 years,8 - 10 years,College degree,Health,well payed
16926,0,5-7 years,5-7 years,College degree,Non profit Organization,bad payed
16927,0,2 - 4 years,2 - 4 years,Master's degree,Industry,well payed
16928,1,2 - 4 years,1 year or less,College degree,Other,well payed
16929,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
16930,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
16931,1,21 - 30 years,11 - 20 years,PhD,Technology & Science,very well payed
16932,0,8 - 10 years,5-7 years,College degree,Consulting,well payed
16933,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
16934,0,5-7 years,2 - 4 years,College degree,Public & Government,well payed
16935,4,2 - 4 years,2 - 4 years,College degree,Health,well payed
16936,0,8 - 10 years,5-7 years,Some college,Culture,well payed
16937,0,5-7 years,5-7 years,College degree,Non profit Organization,well payed
16938,1,11 - 20 years,11 - 20 years,College degree,Culture,well payed
16939,0,8 - 10 years,5-7 years,Some college,Technology & Science,well payed
16940,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
16941,1,11 - 20 years,8 - 10 years,College degree,Education,well payed
16942,0,31 - 40 years,21 - 30 years,PhD,Education,well payed
16943,4,2 - 4 years,2 - 4 years,Master's degree,Industry,bad payed
16944,4,8 - 10 years,2 - 4 years,High School,Education,very bad payed 
16945,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
16946,4,2 - 4 years,2 - 4 years,College degree,Consulting,well payed
16947,1,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,very well payed
16948,4,2 - 4 years,2 - 4 years,College degree,Advertising,well payed
16949,3,11 - 20 years,8 - 10 years,Master's degree,Unidentified,well payed
16950,0,5-7 years,2 - 4 years,Master's degree,Technology & Science,well payed
16951,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,very well payed
16952,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
16953,1,21 - 30 years,11 - 20 years,Some college,Advertising,well payed
16954,4,8 - 10 years,2 - 4 years,College degree,Construction,bad payed
16955,1,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,well payed
16956,4,2 - 4 years,2 - 4 years,College degree,Human Ressources,bad payed
16957,2,21 - 30 years,21 - 30 years,Some college,Technology & Science,very well payed
16958,4,2 - 4 years,2 - 4 years,College degree,Consulting,well payed
16959,1,21 - 30 years,11 - 20 years,College degree,Retail,bad payed
16960,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,very well payed
16961,1,31 - 40 years,31 - 40 years,College degree,Education,well payed
16962,0,5-7 years,5-7 years,College degree,Unidentified,bad payed
16963,4,2 - 4 years,2 - 4 years,College degree,Advertising,well payed
16964,1,11 - 20 years,11 - 20 years,College degree,Advertising,very well payed
16965,4,2 - 4 years,2 - 4 years,College degree,Industry,well payed
16966,4,2 - 4 years,2 - 4 years,College degree,Social,bad payed
16967,0,5-7 years,5-7 years,College degree,Non profit Organization,well payed
16968,2,2 - 4 years,2 - 4 years,Master's degree,Technology & Science,very well payed
16969,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
16970,0,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Law,well payed
16971,0,8 - 10 years,5-7 years,Master's degree,Education,bad payed
16972,1,11 - 20 years,11 - 20 years,PhD,Public & Government,very well payed
16973,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
16974,3,8 - 10 years,8 - 10 years,College degree,Consulting,well payed
16975,2,11 - 20 years,2 - 4 years,Master's degree,Technology & Science,very well payed
16976,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
16977,0,5-7 years,2 - 4 years,Master's degree,Advertising,very well payed
16978,0,5-7 years,5-7 years,College degree,Industry,well payed
16979,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
16980,4,2 - 4 years,2 - 4 years,College degree,Education,bad payed
16981,0,5-7 years,2 - 4 years,College degree,Other,well payed
16982,2,41 years or more,41 years or more,Master's degree,Technology & Science,very well payed
16983,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
16984,4,2 - 4 years,2 - 4 years,College degree,Consulting,well payed
16985,1,1 year or less,1 year or less,College degree,Technology & Science,well payed
16986,2,11 - 20 years,5-7 years,Master's degree,Health,very well payed
16987,1,11 - 20 years,5-7 years,College degree,Health,bad payed
16988,1,31 - 40 years,31 - 40 years,College degree,Construction,very well payed
16989,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
16990,1,11 - 20 years,5-7 years,College degree,Health,well payed
16991,4,2 - 4 years,2 - 4 years,College degree,Health,bad payed
16992,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,bad payed
16993,0,8 - 10 years,5-7 years,Some college,Technology & Science,well payed
16994,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
16995,4,21 - 30 years,11 - 20 years,Master's degree,Education,bad payed
16996,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Public & Government,well payed
16997,3,21 - 30 years,8 - 10 years,High School,Other,well payed
16998,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
16999,2,8 - 10 years,5-7 years,Master's degree,Culture,very well payed
17000,2,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,very well payed
17001,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Health,very well payed
17002,0,2 - 4 years,5-7 years,Master's degree,Social,bad payed
17003,2,11 - 20 years,5-7 years,High School,Retail,bad payed
17004,0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
17005,0,5-7 years,5-7 years,PhD,Education,well payed
17006,1,11 - 20 years,8 - 10 years,PhD,Education,well payed
17007,1,11 - 20 years,5-7 years,College degree,Technology & Science,well payed
17008,2,11 - 20 years,8 - 10 years,Some college,Technology & Science,very well payed
17009,1,11 - 20 years,8 - 10 years,PhD,Technology & Science,well payed
17010,4,5-7 years,5-7 years,College degree,Education,bad payed
17011,4,11 - 20 years,2 - 4 years,College degree,Non profit Organization,bad payed
17012,2,11 - 20 years,2 - 4 years,Master's degree,Other,very well payed
17013,3,8 - 10 years,8 - 10 years,Master's degree,Industry,well payed
17014,1,21 - 30 years,11 - 20 years,College degree,Education,well payed
17015,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
17016,1,5-7 years,2 - 4 years,College degree,Technology & Science,very well payed
17017,4,5-7 years,2 - 4 years,College degree,Unidentified,bad payed
17018,2,11 - 20 years,5-7 years,College degree,Banking & Insurance,very well payed
17019,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,very well payed
17020,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,well payed
17021,0,8 - 10 years,5-7 years,Master's degree,Non profit Organization,very bad payed 
17022,0,2 - 4 years,2 - 4 years,Master's degree,Health,well payed
17023,4,11 - 20 years,2 - 4 years,College degree,Banking & Insurance,bad payed
17024,2,11 - 20 years,2 - 4 years,Master's degree,Banking & Insurance,very well payed
17025,0,5-7 years,5-7 years,Master's degree,Industry,well payed
17026,1,11 - 20 years,11 - 20 years,Master's degree,Consulting,bad payed
17027,4,2 - 4 years,2 - 4 years,College degree,Other,well payed
17028,0,5-7 years,5-7 years,High School,Health,very bad payed 
17029,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
17030,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
17031,4,5-7 years,2 - 4 years,College degree,Human Ressources,bad payed
17032,2,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Public & Government,bad payed
17033,1,11 - 20 years,2 - 4 years,College degree,Banking & Insurance,well payed
17034,3,8 - 10 years,2 - 4 years,Master's degree,Banking & Insurance,bad payed
17035,0,1 year or less,1 year or less,Master's degree,Technology & Science,well payed
17036,3,2 - 4 years,2 - 4 years,Master's degree,Banking & Insurance,well payed
17037,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
17038,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17039,1,11 - 20 years,11 - 20 years,College degree,Agriculture & Food,well payed
17040,1,21 - 30 years,11 - 20 years,College degree,Technology & Science,very well payed
17041,2,21 - 30 years,21 - 30 years,Master's degree,Public & Government,very well payed
17042,0,5-7 years,2 - 4 years,College degree,Non profit Organization,very bad payed 
17043,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17044,1,11 - 20 years,2 - 4 years,Unknown,Unidentified,well payed
17045,3,8 - 10 years,5-7 years,High School,Banking & Insurance,well payed
17046,2,11 - 20 years,5-7 years,College degree,Technology & Science,very well payed
17047,0,21 - 30 years,11 - 20 years,Master's degree,Advertising,bad payed
17048,1,21 - 30 years,11 - 20 years,College degree,Retail,well payed
17049,1,11 - 20 years,8 - 10 years,High School,Health,bad payed
17050,4,2 - 4 years,2 - 4 years,PhD,Health,well payed
17051,0,5-7 years,5-7 years,College degree,Culture,well payed
17052,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17053,0,5-7 years,5-7 years,College degree,Unidentified,bad payed
17054,4,2 - 4 years,2 - 4 years,College degree,Culture,bad payed
17055,1,8 - 10 years,2 - 4 years,College degree,Technology & Science,very well payed
17056,4,5-7 years,2 - 4 years,College degree,Education,bad payed
17057,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17058,4,2 - 4 years,2 - 4 years,PhD,Health,well payed
17059,0,5-7 years,5-7 years,College degree,Banking & Insurance,well payed
17060,4,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17061,2,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17062,0,11 - 20 years,5-7 years,Master's degree,Non profit Organization,well payed
17063,1,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,well payed
17064,1,5-7 years,2 - 4 years,College degree,Technology & Science,well payed
17065,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,bad payed
17066,3,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,well payed
17067,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,bad payed
17068,4,2 - 4 years,2 - 4 years,College degree,Education,bad payed
17069,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
17070,1,21 - 30 years,21 - 30 years,College degree,Industry,very well payed
17071,1,21 - 30 years,5-7 years,College degree,Technology & Science,well payed
17072,4,2 - 4 years,2 - 4 years,College degree,Industry,well payed
17073,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
17074,4,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17075,0,5-7 years,1 year or less,Master's degree,Technology & Science,well payed
17076,0,5-7 years,5-7 years,College degree,Banking & Insurance,very well payed
17077,1,11 - 20 years,11 - 20 years,PhD,Health,very well payed
17078,0,8 - 10 years,5-7 years,Master's degree,Education,bad payed
17079,1,11 - 20 years,8 - 10 years,College degree,Advertising,well payed
17080,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
17081,2,8 - 10 years,5-7 years,Master's degree,Other,very well payed
17082,1,11 - 20 years,5-7 years,College degree,Technology & Science,well payed
17083,4,2 - 4 years,2 - 4 years,Master's degree,Education,bad payed
17084,1,31 - 40 years,31 - 40 years,College degree,Public & Government,very well payed
17085,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
17086,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,well payed
17087,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
17088,0,5-7 years,2 - 4 years,Master's degree,Public & Government,well payed
17089,0,5-7 years,5-7 years,Master's degree,Public & Government,bad payed
17090,4,2 - 4 years,2 - 4 years,Some college,Culture,well payed
17091,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,very bad payed 
17092,0,2 - 4 years,5-7 years,Master's degree,Other,well payed
17093,4,2 - 4 years,2 - 4 years,College degree,Education,bad payed
17094,0,5-7 years,5-7 years,Master's degree,Other,bad payed
17095,4,2 - 4 years,2 - 4 years,College degree,Industry,very well payed
17096,1,2 - 4 years,2 - 4 years,Unknown,Technology & Science,well payed
17097,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
17098,4,5-7 years,2 - 4 years,College degree,Culture,bad payed
17099,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
17100,1,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,well payed
17101,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
17102,4,2 - 4 years,2 - 4 years,College degree,Health,bad payed
17103,3,11 - 20 years,8 - 10 years,Master's degree,Social,well payed
17104,0,2 - 4 years,1 year or less,Master's degree,Technology & Science,well payed
17105,0,1 year or less,1 year or less,Unknown,Consulting,well payed
17106,1,31 - 40 years,31 - 40 years,College degree,Technology & Science,very well payed
17107,4,2 - 4 years,2 - 4 years,College degree,Agriculture & Food,bad payed
17108,0,31 - 40 years,31 - 40 years,Master's degree,Education,well payed
17109,1,11 - 20 years,5-7 years,College degree,Unidentified,well payed
17110,0,5-7 years,5-7 years,Master's degree,Education,very bad payed 
17111,1,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Banking & Insurance,very well payed
17112,0,5-7 years,5-7 years,Master's degree,Banking & Insurance,very well payed
17113,0,31 - 40 years,2 - 4 years,Master's degree,Technology & Science,well payed
17114,4,2 - 4 years,1 year or less,College degree,Advertising,bad payed
17115,2,11 - 20 years,8 - 10 years,Master's degree,Unidentified,bad payed
17116,4,5-7 years,2 - 4 years,College degree,Health,bad payed
17117,1,5-7 years,1 year or less,College degree,Technology & Science,bad payed
17118,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,well payed
17119,4,8 - 10 years,2 - 4 years,College degree,Education,well payed
17120,0,21 - 30 years,5-7 years,Master's degree,Education,well payed
17121,0,5-7 years,5-7 years,College degree,Non profit Organization,well payed
17122,0,5-7 years,5-7 years,Master's degree,Education,bad payed
17123,2,11 - 20 years,11 - 20 years,Master's degree,Industry,very well payed
17124,1,11 - 20 years,11 - 20 years,Unknown,Unidentified,well payed
17125,4,8 - 10 years,2 - 4 years,Master's degree,Education,bad payed
17126,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
17127,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Public & Government,well payed
17128,3,8 - 10 years,5-7 years,Some college,Banking & Insurance,well payed
17129,1,11 - 20 years,11 - 20 years,Master's degree,Health,bad payed
17130,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
17131,0,8 - 10 years,11 - 20 years,Master's degree,Non profit Organization,bad payed
17132,2,11 - 20 years,5-7 years,Master's degree,Culture,bad payed
17133,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
17134,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
17135,4,5-7 years,2 - 4 years,College degree,Other,very well payed
17136,1,21 - 30 years,11 - 20 years,College degree,Technology & Science,very well payed
17137,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17138,3,8 - 10 years,2 - 4 years,Master's degree,Technology & Science,well payed
17139,0,2 - 4 years,2 - 4 years,Master's degree,Consulting,well payed
17140,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
17141,1,31 - 40 years,21 - 30 years,College degree,Public & Government,very well payed
17142,0,21 - 30 years,11 - 20 years,Master's degree,Education,well payed
17143,2,21 - 30 years,21 - 30 years,Master's degree,Health,very well payed
17144,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
17145,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
17146,1,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,very well payed
17147,0,5-7 years,5-7 years,Master's degree,Public & Government,well payed
17148,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
17149,2,11 - 20 years,11 - 20 years,Master's degree,Public & Government,very well payed
17150,1,21 - 30 years,11 - 20 years,College degree,Technology & Science,bad payed
17151,1,21 - 30 years,11 - 20 years,PhD,Unidentified,very well payed
17152,2,5-7 years,5-7 years,Master's degree,Technology & Science,very well payed
17153,1,11 - 20 years,8 - 10 years,College degree,Culture,well payed
17154,0,5-7 years,5-7 years,College degree,Advertising,well payed
17155,0,8 - 10 years,5-7 years,Master's degree,Social,well payed
17156,4,11 - 20 years,2 - 4 years,College degree,Banking & Insurance,bad payed
17157,3,8 - 10 years,1 year or less,Some college,Unidentified,bad payed
17158,0,5-7 years,5-7 years,College degree,Advertising,very well payed
17159,4,2 - 4 years,2 - 4 years,College degree,Advertising,bad payed
17160,0,41 years or more,41 years or more,Master's degree,Education,well payed
17161,4,8 - 10 years,5-7 years,College degree,Law,bad payed
17162,4,2 - 4 years,2 - 4 years,College degree,Culture,bad payed
17163,4,8 - 10 years,2 - 4 years,College degree,Non profit Organization,bad payed
17164,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
17165,0,31 - 40 years,8 - 10 years,College degree,Non profit Organization,well payed
17166,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
17167,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
17168,4,2 - 4 years,1 year or less,College degree,Health,bad payed
17169,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
17170,2,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,very well payed
17171,2,11 - 20 years,11 - 20 years,Master's degree,Health,very well payed
17172,2,8 - 10 years,5-7 years,College degree,Banking & Insurance,very well payed
17173,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
17174,3,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,very well payed
17175,0,5-7 years,5-7 years,College degree,Non profit Organization,well payed
17176,1,21 - 30 years,11 - 20 years,Unknown,Banking & Insurance,very well payed
17177,1,11 - 20 years,8 - 10 years,College degree,Retail,well payed
17178,3,8 - 10 years,8 - 10 years,Master's degree,Advertising,well payed
17179,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
17180,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
17181,2,31 - 40 years,31 - 40 years,Master's degree,Education,very well payed
17182,1,11 - 20 years,11 - 20 years,Master's degree,Retail,well payed
17183,4,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,well payed
17184,3,21 - 30 years,2 - 4 years,Master's degree,Banking & Insurance,bad payed
17185,1,8 - 10 years,2 - 4 years,College degree,Technology & Science,very well payed
17186,1,11 - 20 years,2 - 4 years,College degree,Other,well payed
17187,0,21 - 30 years,21 - 30 years,College degree,Non profit Organization,very well payed
17188,4,2 - 4 years,1 year or less,Some college,Retail,bad payed
17189,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
17190,1,21 - 30 years,11 - 20 years,College degree,Industry,well payed
17191,1,11 - 20 years,2 - 4 years,College degree,Industry,well payed
17192,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,very well payed
17193,4,2 - 4 years,2 - 4 years,College degree,Other,bad payed
17194,0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
17195,2,8 - 10 years,5-7 years,College degree,Unidentified,very well payed
17196,0,5-7 years,5-7 years,College degree,Health,well payed
17197,0,5-7 years,2 - 4 years,Master's degree,Law,well payed
17198,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
17199,4,2 - 4 years,2 - 4 years,College degree,Advertising,bad payed
17200,3,8 - 10 years,8 - 10 years,Master's degree,Human Ressources,well payed
17201,1,11 - 20 years,11 - 20 years,College degree,Consulting,very well payed
17202,1,11 - 20 years,41 years or more,College degree,Health,well payed
17203,1,21 - 30 years,11 - 20 years,Some college,Construction,bad payed
17204,2,11 - 20 years,11 - 20 years,Master's degree,Education,very well payed
17205,0,5-7 years,5-7 years,PhD,Technology & Science,well payed
17206,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
17207,2,1 year or less,2 - 4 years,Some college,Consulting,very well payed
17208,4,5-7 years,2 - 4 years,College degree,Unidentified,bad payed
17209,1,11 - 20 years,8 - 10 years,College degree,Health,well payed
17210,0,5-7 years,5-7 years,College degree,Culture,well payed
17211,1,11 - 20 years,8 - 10 years,College degree,Health,bad payed
17212,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
17213,3,8 - 10 years,8 - 10 years,College degree,Consulting,very well payed
17214,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
17215,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
17216,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
17217,0,8 - 10 years,5-7 years,Master's degree,Technology & Science,well payed
17218,0,21 - 30 years,21 - 30 years,Master's degree,Public & Government,well payed
17219,1,41 years or more,41 years or more,College degree,Technology & Science,very well payed
17220,0,5-7 years,5-7 years,College degree,Non profit Organization,bad payed
17221,1,8 - 10 years,2 - 4 years,College degree,Technology & Science,very well payed
17222,3,8 - 10 years,8 - 10 years,Master's degree,Education,bad payed
17223,2,21 - 30 years,21 - 30 years,Master's degree,Education,very well payed
17224,0,8 - 10 years,2 - 4 years,Master's degree,Non profit Organization,well payed
17225,0,5-7 years,5-7 years,Master's degree,Technology & Science,well payed
17226,1,11 - 20 years,8 - 10 years,College degree,Unidentified,bad payed
17227,1,41 years or more,41 years or more,College degree,Technology & Science,very well payed
17228,3,8 - 10 years,8 - 10 years,College degree,Industry,very well payed
17229,0,11 - 20 years,5-7 years,PhD,Culture,well payed
17230,4,2 - 4 years,2 - 4 years,College degree,Law,bad payed
17231,4,11 - 20 years,2 - 4 years,PhD,Advertising,bad payed
17232,3,8 - 10 years,8 - 10 years,College degree,Public & Government,well payed
17233,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
17234,1,11 - 20 years,5-7 years,College degree,Retail,well payed
17235,1,11 - 20 years,2 - 4 years,College degree,Advertising,well payed
17236,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
17237,0,5-7 years,5-7 years,Master's degree,Public & Government,well payed
17238,0,8 - 10 years,5-7 years,Master's degree,Education,well payed
17239,0,5-7 years,1 year or less,College degree,Unidentified,well payed
17240,3,8 - 10 years,8 - 10 years,Master's degree,Industry,well payed
17241,0,5-7 years,2 - 4 years,Master's degree,Technology & Science,well payed
17242,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
17243,2,8 - 10 years,8 - 10 years,PhD,Technology & Science,very well payed
17244,3,8 - 10 years,8 - 10 years,College degree,Industry,well payed
17245,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
17246,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,very well payed
17247,0,5-7 years,5-7 years,College degree,Non profit Organization,bad payed
17248,0,5-7 years,5-7 years,Master's degree,Non profit Organization,bad payed
17249,2,11 - 20 years,11 - 20 years,Master's degree,Other,very well payed
17250,2,8 - 10 years,8 - 10 years,Some college,Technology & Science,very well payed
17251,3,8 - 10 years,8 - 10 years,Master's degree,Retail,very well payed
17252,2,21 - 30 years,21 - 30 years,PhD,Technology & Science,very well payed
17253,1,11 - 20 years,1 year or less,Some college,Unidentified,well payed
17254,2,11 - 20 years,5-7 years,Master's degree,Technology & Science,well payed
17255,0,21 - 30 years,11 - 20 years,Master's degree,Non profit Organization,well payed
17256,0,5-7 years,5-7 years,Some college,Retail,very bad payed 
17257,1,2 - 4 years,1 year or less,College degree,Advertising,well payed
17258,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very bad payed 
17259,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
17260,1,11 - 20 years,11 - 20 years,Master's degree,Culture,well payed
17261,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17262,1,11 - 20 years,11 - 20 years,College degree,Other,well payed
17263,1,11 - 20 years,11 - 20 years,Some college,Technology & Science,very well payed
17264,0,11 - 20 years,5-7 years,Master's degree,Non profit Organization,well payed
17265,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
17266,3,8 - 10 years,8 - 10 years,College degree,Health,bad payed
17267,1,21 - 30 years,11 - 20 years,College degree,Non profit Organization,well payed
17268,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17269,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17270,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17271,0,5-7 years,5-7 years,College degree,Industry,well payed
17272,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17273,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
17274,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,very well payed
17275,1,8 - 10 years,5-7 years,College degree,Technology & Science,well payed
17276,1,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,well payed
17277,2,8 - 10 years,5-7 years,College degree,Energy,very well payed
17278,0,2 - 4 years,2 - 4 years,Master's degree,Technology & Science,well payed
17279,0,8 - 10 years,5-7 years,College degree,Unidentified,well payed
17280,2,21 - 30 years,21 - 30 years,Some college,Technology & Science,very well payed
17281,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
17282,2,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
17283,3,8 - 10 years,8 - 10 years,Unknown,Education,well payed
17284,0,5-7 years,5-7 years,Master's degree,Social,bad payed
17285,2,11 - 20 years,21 - 30 years,Some college,Health,very well payed
17286,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
17287,1,31 - 40 years,31 - 40 years,College degree,Technology & Science,very well payed
17288,2,8 - 10 years,8 - 10 years,High School,Technology & Science,very well payed
17289,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
17290,2,11 - 20 years,5-7 years,Master's degree,Culture,bad payed
17291,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
17292,2,31 - 40 years,31 - 40 years,Some college,Technology & Science,very well payed
17293,4,2 - 4 years,2 - 4 years,Master's degree,Education,bad payed
