,harmonized_salary,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry cluster tf_idf_bigrams,category_salary,cluster
9266,80000.0,25-34,5-7 years,5-7 years,PhD,Woman,Education,medium,2
9267,61567.0,35-44,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,medium,2
9268,13600.0,18-24,2 - 4 years,2 - 4 years,Some college,Woman,Health,low,0
9269,46000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,low,2
9270,78000.0,25-34,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Health,medium,0
9271,93000.0,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,medium,0
9272,37000.0,25-34,11 - 20 years,5-7 years,College degree,Woman,Other,low,2
9273,40000.0,25-34,5-7 years,5-7 years,College degree,Woman,Social,low,2
9274,130000.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Advertising,high,0
9275,51800.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,low,2
9276,76680.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Industry,medium,0
9277,35000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Health,low,0
9278,232000.0,35-44,21 - 30 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
9279,142000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,high,1
9280,62000.0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,medium,2
9281,48800.0,25-34,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,low,0
9282,61939.16,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Health,medium,0
9283,47000.0,25-34,5-7 years,5-7 years,College degree,Woman,Education,low,2
9284,81000.0,35-44,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,medium,0
9285,101000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Other,high,1
9286,68500.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,medium,0
9287,65000.0,35-44,8 - 10 years,2 - 4 years,College degree,Woman,Education,medium,2
9288,155000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,high,0
9289,92300.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,medium,2
9290,13400.0,25-34,2 - 4 years,2 - 4 years,College degree,Man,Education,low,2
9291,41580.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,low,2
9292,40200.0,25-34,2 - 4 years,1 year or less,College degree,Man,Unidentified,low,2
9293,86940.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,medium,1
9294,53000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,low,2
9295,58000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Culture,low,2
9296,130000.0,25-34,5-7 years,2 - 4 years,College degree,Non-binary,Technology & Science,high,1
9297,86000.0,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Health,medium,0
9298,72000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,medium,0
9299,53000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Education,low,2
9300,47400.0,35-44,11 - 20 years,1 year or less,College degree,Woman,Banking & Insurance,low,2
9301,33390.0,25-34,5-7 years,5-7 years,College degree,Woman,Industry,low,2
9302,64260.0,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Education,medium,2
9303,77420.0,25-34,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Non-binary,Law,medium,0
9304,125000.0,45-54,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,Industry,high,1
9305,135000.0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Industry,high,1
9306,120000.0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,high,1
9307,133000.0,45-54,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,Technology & Science,high,1
9308,78000.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Education,medium,2
9309,37960.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,low,2
9310,150000.0,25-34,8 - 10 years,5-7 years,PhD,Woman,Consulting,high,0
9311,99540.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,high,2
9312,80000.0,35-44,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,medium,0
9313,87304.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,medium,0
9314,170000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,high,1
9315,207500.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Man,Education,high,1
9316,62893.48,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Health,medium,0
9317,106000.0,35-44,5-7 years,5-7 years,PhD,Woman,Public & Government,high,0
9318,81000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Culture,medium,2
9319,264000.0,45-54,31 - 40 years,31 - 40 years,College degree,Man,Technology & Science,high,1
9320,86900.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,medium,1
9321,66500.0,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,medium,1
9322,70000.0,35-44,21 - 30 years,8 - 10 years,Some college,Woman,Advertising,medium,0
9323,95500.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Unidentified,high,0
9324,52500.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,low,2
9325,57960.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,low,2
9326,45000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,low,2
9327,78000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,medium,1
9328,47000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,low,2
9329,52000.0,45-54,21 - 30 years,2 - 4 years,College degree,Woman,Law,low,0
9330,71000.0,25-34,5-7 years,5-7 years,College degree,Non-binary,Non profit Organization,medium,2
9331,114000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,high,1
9332,63000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Law,medium,0
9333,42660.0,45-54,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,low,0
9334,140000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,high,0
9335,130000.0,45-54,21 - 30 years,1 year or less,Master's degree,Woman,Technology & Science,high,1
9336,116000.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Consulting,high,0
9337,39520.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Retail,low,2
9338,68000.0,55-64,31 - 40 years,21 - 30 years,Master's degree,Woman,Public & Government,medium,0
9339,148000.0,25-34,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Law,high,1
9340,45000.0,25-34,2 - 4 years,2 - 4 years,College degree,Non-binary,Technology & Science,low,2
9341,99000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Health,high,0
9342,125000.0,55-64,21 - 30 years,31 - 40 years,PhD,Woman,Technology & Science,high,1
9343,58635.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Health,low,0
9344,136240.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Construction,high,2
9345,134000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,high,1
9346,70000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,medium,2
9347,106000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,high,0
9348,40000.0,35-44,5-7 years,11 - 20 years,Master's degree,Woman,Advertising,low,2
9349,65000.0,25-34,5-7 years,5-7 years,College degree,Woman,Human Ressources,medium,0
9350,70000.0,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Health,medium,0
9351,104000.0,25-34,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,high,1
9352,101000.0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Unidentified,high,0
9353,50000.0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,low,2
9354,53250.0,25-34,8 - 10 years,1 year or less,College degree,Woman,Education,low,2
9355,83940.0,25-34,5-7 years,5-7 years,Master's degree,Man,Education,medium,2
9356,78500.0,45-54,11 - 20 years,8 - 10 years,Master's degree,Woman,Industry,medium,0
9357,152650.0,25-34,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
9358,46000.0,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Education,low,2
9359,33390.0,55-64,31 - 40 years,11 - 20 years,College degree,Woman,Law,low,0
9360,92000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,medium,0
9361,45030.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Unidentified,low,2
9362,28980.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,low,2
9363,47700.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,low,2
9364,65880.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,medium,1
9365,58500.0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,low,0
9366,120000.0,45-54,31 - 40 years,11 - 20 years,Master's degree,Woman,Human Ressources,high,0
9367,88000.0,35-44,8 - 10 years,8 - 10 years,College degree,Man,Banking & Insurance,medium,1
9368,76000.0,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Other,medium,2
9369,63000.0,45-54,21 - 30 years,8 - 10 years,Some college,Woman,Industry,medium,0
9370,92000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,medium,0
9371,141000.0,25-34,5-7 years,8 - 10 years,PhD,Woman,Industry,high,1
9372,230000.0,35-44,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,high,1
9373,188000.0,35-44,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,high,1
9374,170000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,high,1
9375,50100.0,45-54,11 - 20 years,5-7 years,College degree,Woman,Education,low,2
9376,104640.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Security & Defense,high,2
9377,135000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Man,Banking & Insurance,high,1
9378,90000.0,25-34,5-7 years,2 - 4 years,College degree,Man,Advertising,medium,1
9379,71100.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,medium,1
9380,130704.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,high,1
9381,54000.0,35-44,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Consulting,low,0
9382,61939.16,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Health,medium,0
9383,120660.0,25-34,11 - 20 years,2 - 4 years,Some college,Woman,Banking & Insurance,high,1
9384,73130.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,medium,0
9385,46125.0,25-34,5-7 years,5-7 years,College degree,Woman,Education,low,2
9386,41600.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Prefer not to answer,Law,low,0
9387,49000.0,25-34,2 - 4 years,1 year or less,Some college,Woman,Education,low,2
9388,73000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Prefer not to answer,Education,medium,2
9389,235000.0,45-54,31 - 40 years,31 - 40 years,Master's degree,Man,Banking & Insurance,high,1
9390,125000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,high,0
9391,57000.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Health,low,0
9392,132500.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Consulting,high,0
9393,43913.68,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,low,2
9394,100300.0,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,high,0
9395,47840.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,low,2
9396,70000.0,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Social,medium,2
9397,90000.0,45-54,21 - 30 years,8 - 10 years,College degree,Woman,Other,medium,2
9398,88000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,medium,0
9399,90000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,medium,1
9400,118000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Non-binary,Technology & Science,high,1
9401,43000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,low,2
9402,88000.0,35-44,21 - 30 years,11 - 20 years,College degree,Non-binary,Technology & Science,medium,2
9403,150000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,high,1
9404,136000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,high,0
9405,85000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Health,medium,0
9406,76500.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,medium,0
9407,105000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,high,0
9408,69300.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,medium,0
9409,165000.0,35-44,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,high,1
9410,58000.0,25-34,5-7 years,2 - 4 years,Master's degree,Non-binary,Education,low,2
9411,60000.0,55-64,31 - 40 years,31 - 40 years,Some college,Woman,Banking & Insurance,low,2
9412,100000.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Man,Technology & Science,high,1
9413,79600.0,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,medium,0
9414,107500.0,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,high,0
9415,164000.0,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,high,0
9416,16000.0,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,low,2
9417,50000.0,25-34,8 - 10 years,5-7 years,College degree,Man,Education,low,2
9418,94500.0,35-44,21 - 30 years,11 - 20 years,High School,Woman,Public & Government,high,0
9419,84500.0,35-44,5-7 years,5-7 years,PhD,Woman,Education,medium,2
9420,50000.0,25-34,5-7 years,5-7 years,College degree,Woman,Non profit Organization,low,2
9421,100000.0,25-34,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Health,high,0
9422,93000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,medium,0
9423,60000.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,low,2
9424,45000.0,35-44,5-7 years,2 - 4 years,Master's degree,Woman,Other,low,2
9425,85000.0,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,medium,0
9426,60000.0,55-64,31 - 40 years,31 - 40 years,Some college,Woman,Banking & Insurance,low,2
9427,153000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,high,0
9428,200000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,high,1
9429,43000.0,45-54,21 - 30 years,8 - 10 years,Some college,Woman,Health,low,0
9430,134300.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Public & Government,high,0
9431,50000.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Other,low,2
9432,78000.0,35-44,8 - 10 years,2 - 4 years,College degree,Man,Public & Government,medium,0
9433,80000.0,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Technology & Science,medium,1
9434,115000.0,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Industry,high,1
9435,49500.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,low,2
9436,70000.0,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,medium,0
9437,85000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,medium,0
9438,43000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,low,2
9439,110000.0,55-64,41 years or more,31 - 40 years,College degree,Woman,Technology & Science,high,1
9440,50000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,low,2
9441,145000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,high,1
9442,96000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,high,2
9443,37000.0,25-34,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,low,2
9444,51000.0,35-44,5-7 years,8 - 10 years,Master's degree,Woman,Education,low,2
9445,51251.0,35-44,2 - 4 years,2 - 4 years,College degree,Woman,Social,low,2
9446,81408.0,25-34,11 - 20 years,5-7 years,Master's degree,Woman,Banking & Insurance,medium,0
9447,72000.0,45-54,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Education,medium,2
9448,53400.0,18-24,2 - 4 years,2 - 4 years,College degree,Non-binary,Non profit Organization,low,2
9449,165000.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,high,0
9450,70000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Health,medium,0
9451,115000.0,25-34,5-7 years,5-7 years,PhD,Man,Health,high,1
9452,62400.0,35-44,8 - 10 years,2 - 4 years,College degree,Woman,Other,medium,2
9453,58500.0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,low,2
9454,77933.5,45-54,11 - 20 years,2 - 4 years,College degree,Woman,Public & Government,medium,0
9455,90000.0,45-54,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,medium,0
9456,130000.0,55-64,31 - 40 years,31 - 40 years,College degree,Woman,Law,high,0
9457,95000.0,35-44,11 - 20 years,11 - 20 years,College degree,Man,Health,high,1
9458,150000.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Industry,high,1
9459,38000.0,25-34,5-7 years,1 year or less,High School,Woman,Non profit Organization,low,2
9460,120000.0,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,high,0
9461,90000.0,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,medium,1
9462,67150.0,55-64,41 years or more,41 years or more,High School,Man,Public & Government,medium,0
9463,66500.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Human Ressources,medium,0
9464,67000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,medium,0
9465,86000.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Public & Government,medium,0
9466,29465.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Advertising,low,2
9467,46000.0,25-34,11 - 20 years,11 - 20 years,Master's degree,Man,Education,low,2
9468,78750.0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,medium,0
9469,78100.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,medium,1
9470,117700.0,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,high,1
9471,45000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,low,0
9472,166000.0,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,high,1
9473,55000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,low,2
9474,42000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Other,low,2
9475,305000.0,25-34,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,high,0
9476,41000.0,55-64,21 - 30 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,low,2
9477,48000.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Advertising,low,2
9478,69000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,medium,0
9479,110000.0,25-34,8 - 10 years,5-7 years,Master's degree,Prefer not to answer,Human Ressources,high,0
9480,117000.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Industry,high,1
9481,33000.0,45-54,31 - 40 years,8 - 10 years,Some college,Woman,Public & Government,low,0
9482,102700.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Health,high,0
9483,110000.0,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Education,high,2
9484,150000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,high,1
9485,176000.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Consulting,high,0
9486,121000.0,55-64,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,high,2
9487,93010.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Construction,medium,2
9488,57000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,low,2
9489,82000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Culture,medium,2
9490,100000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Consulting,high,1
9491,58000.0,45-54,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,low,2
9492,98000.0,25-34,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,high,1
9493,39000.0,18-24,2 - 4 years,1 year or less,College degree,Woman,Social,low,2
9494,85200.0,45-54,21 - 30 years,21 - 30 years,Some college,Woman,Public & Government,medium,0
9495,121000.0,55-64,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,high,2
9496,53720.0,35-44,2 - 4 years,2 - 4 years,PhD,Woman,Public & Government,low,0
9497,65000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,medium,0
9498,80000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,medium,0
9499,97000.0,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,high,0
9500,44450.0,55-64,8 - 10 years,5-7 years,College degree,Woman,Public & Government,low,0
9501,44000.0,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Health,low,0
9502,34320.0,25-34,8 - 10 years,5-7 years,High School,Woman,Retail,low,2
9503,67284.0,18-24,2 - 4 years,2 - 4 years,College degree,Non-binary,Public & Government,medium,0
9504,135000.0,35-44,5-7 years,5-7 years,PhD,Woman,Non profit Organization,high,0
9505,115000.0,35-44,11 - 20 years,5-7 years,High School,Prefer not to answer,Technology & Science,high,1
9506,100000.0,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Other,high,1
9507,72000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,medium,2
9508,53000.0,35-44,11 - 20 years,5-7 years,Master's degree,Man,Education,low,2
9509,45000.0,25-34,8 - 10 years,1 year or less,College degree,Woman,Health,low,0
9510,174000.0,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,high,1
9511,204000.0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,high,1
9512,116000.0,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,high,1
9513,66805.0,35-44,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Public & Government,medium,0
9514,180000.0,45-54,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,Law,high,1
9515,90000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,medium,1
9516,41000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,low,2
9517,90000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Consulting,medium,0
9518,123000.0,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Retail,high,2
9519,68053.5,25-34,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Public & Government,medium,0
9520,77000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,medium,0
9521,72680.0,35-44,8 - 10 years,5-7 years,High School,Woman,Construction,medium,2
9522,103000.0,45-54,11 - 20 years,11 - 20 years,Some college,Woman,Industry,high,1
9523,75000.0,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Education,medium,2
9524,30530.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Retail,low,2
9525,56160.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,low,0
9526,50000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,low,2
9527,43800.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,low,2
9528,72000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Advertising,medium,0
9529,45000.0,25-34,5-7 years,1 year or less,College degree,Woman,Technology & Science,low,2
9530,111000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,high,1
9531,120000.0,35-44,21 - 30 years,21 - 30 years,Master's degree,Man,Public & Government,high,1
9532,46620.0,45-54,21 - 30 years,21 - 30 years,High School,Woman,Consulting,low,0
9533,70000.0,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Health,medium,0
9534,85000.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Education,medium,2
9535,150000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Culture,high,2
9536,52930.0,35-44,5-7 years,5-7 years,College degree,Woman,Non profit Organization,low,2
9537,86620.0,35-44,11 - 20 years,5-7 years,College degree,Man,Industry,medium,1
9538,76000.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Health,medium,0
9539,82500.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Consulting,medium,0
9540,40000.0,35-44,11 - 20 years,11 - 20 years,College degree,Non-binary,Other,low,2
9541,135000.0,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Construction,high,2
9542,36000.0,25-34,5-7 years,5-7 years,College degree,Woman,Culture,low,2
9543,121129.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Construction,high,2
9544,130000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,high,0
9545,175000.0,35-44,8 - 10 years,5-7 years,PhD,Woman,Other,high,1
9546,125000.0,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,high,1
9547,66456.0,45-54,31 - 40 years,1 year or less,Some college,Woman,Health,medium,0
9548,64000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,medium,0
9549,94500.0,35-44,21 - 30 years,11 - 20 years,PhD,Woman,Education,high,2
9550,105500.0,45-54,31 - 40 years,31 - 40 years,PhD,Woman,Public & Government,high,0
9551,63000.0,25-34,1 year or less,1 year or less,PhD,Woman,Education,medium,2
9552,116000.0,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Advertising,high,0
9553,31500.0,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,low,2
9554,45250.0,25-34,8 - 10 years,1 year or less,Master's degree,Woman,Education,low,2
9555,65000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Unidentified,medium,0
9556,120000.0,25-34,11 - 20 years,8 - 10 years,High School,Woman,Unidentified,high,0
9557,70000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Advertising,medium,0
9558,140000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,high,1
9559,45500.0,25-34,11 - 20 years,5-7 years,College degree,Woman,Retail,low,2
9560,39000.0,45-54,11 - 20 years,5-7 years,College degree,Woman,Health,low,0
9561,80000.0,25-34,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Health,medium,0
9562,111000.0,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Other,high,1
9563,121129.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Construction,high,2
9564,41080.0,25-34,2 - 4 years,1 year or less,Master's degree,Woman,Education,low,2
9565,168000.0,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Advertising,high,0
